Problems,Clp,FICO_Xpress,GuRoBi,IBM_CPLEX,Mosek
chromaticindex1024-7.mps,145,129,4,2,236
cont1.mps,227,t,187,60,494
cont11.mps,1318,1296,f,959,t
datt256_lp.mps,513,1228,t,t,t
ex10.mps,717,48,12,13,73
fhnw-binschedule0_lp.mps,141,11,2,4,4
fome13.mps,107,7,6,5,982
graph40-40_lp.mps,587,t,84,34,t
irish-electricity.mps,f,164,f,63,419
L1_sixm1000obs.mps,t,43,71,1645,t
L1_sixm250obs.mps,t,4,7,6,64
Linf_520c.mps,739,1800,684,t,t
neos-3025225_lp.mps,716,370,371,1313,t
neos-5052403-cygnet.mps,247,1123,265,90,31
neos-5251015_lp.mps,586,250,t,1388,416
neos.mps,93,94,102,22,9
neos3.mps,t,487,21,2,6
ns1687037.mps,330,415,t,t,t
ns1688926.mps,280,26,19,529,t
nug08-3rd.mps,t,49,38,67,t
pds-100.mps,f,262,200,144,388
physiciansched3-3.mps,t,23,109,46,202
qap15.mps,98,6,5,5,t
rail4284.mps,1500,220,1207,63,62
rmine15_lp.mps,t,295,1063,987,1775
s100.mps,23,t,35,16,f
s250r10.mps,14,1617,6,24,f
s82_lp.mps,t,t,t,t,t
savsched1.mps,433,46,102,60,724
scpm1_lp.mps,1798,736,582,90,774
self.mps,f,29,25,17,1
square41.mps,971,6,5,6,t
stat96v1.mps,53,91,23,129,324
stormG2_1000.mps,t,175,651,86,694
supportcase10.mps,65,26,37,45,1353
