Problem,Iterations_IBM_CPLEX,Solver_Time_IBM_CPLEX,Julia_Time_IBM_CPLEX,Iterations_FICO_Xpress,Solver_Time_FICO_Xpress,Julia_Time_FICO_Xpress,Iterations_GuRoBi,Solver_Time_GuRoBi,Julia_Time_GuRoBi
chromaticindex1024-7.mps,1,2.66799998283386,4.4869356,101658,81.4839999675751,83.9773297,28865,3.91988945007324,7.9502001
chromaticindex1024-7.mps,1,2.56799983978271,2.7056658,101658,81.8639998435974,82.2494308,28865,3.89288520812988,4.2152615
cont1.mps,330,108.337999820709,108.7420851,21529,69.4670000076294,70.1360517,808,18.6022319793701,19.5666107
cont11.mps,808,1020.3259999752,1020.5229369,187440,1369.94000005722,1370.2776524,1151,25.3642177581787,25.6861247
datt256_lp.mps,206,403.90700006485,404.470401,91101,651.932000160217,653.1246224,40635,349.064607620239,349.580655
ex10.mps,11,13.3159999847412,13.5260447,280627,1785.52999997139,1785.7238627,8413,7.20964050292969,7.3729861
fhnw-binschedule0_lp.mps,19505,7.15999984741211,8.0556803,73749,16.8020000457764,18.4720646,21346,1.9864501953125,2.9169433
fome13.mps,38,1.78299999237061,2.0422486,40458,2.8529999256134,3.1293244,14212,2.15849304199219,2.565725
graph40-40_lp.mps,924,93.0980000495911,93.7693949,Inf,Inf,1800.3174988,94536,49.8993263244629,50.4768553
irish-electricity.mps,Inf,Inf,11.7805018,39958,13.3950002193451,13.9066443,12833,6.29343223571777,6.5980085
L1_sixm1000obs.mps,136715,431.664000034332,450.235422,54418,13.5230000019073,29.9303671,68153,37.1914577484131,47.1603114
L1_sixm250obs.mps,13194,6.84400010108948,10.5352507,7140,2.68900012969971,6.8021484,8494,6.84755706787109,8.2365328
Linf_520c.mps,28,27.7189998626709,27.8594791,144299,196.573999881744,197.1020979,21724,18.5600662231445,18.7500219
neos-3025225_lp.mps,21,102.811000108719,104.2230167,145485,572.587999820709,574.1723188,69131,38.4547500610352,39.6278188
neos-5052403-cygnet.mps,23,29.3509998321533,29.790526,44984,16.3719999790192,16.8556404,11920,7.70960426330566,8.0875343
neos-5251015_lp.mps,14,12.114000082016,12.5132881,326,3.32299995422363,3.8301393,92943,13.7491264343262,14.634855
neos.mps,61,9.91899991035461,10.8513132,126677,9.4210000038147,10.3399394,18540,12.735897064209,13.4605428
neos3.mps,14082,2.08899998664856,2.4460148,67930,15.1979999542236,15.5860968,44099,3.40777587890625,3.8927695
ns1687037.mps,7523,503.643000125885,503.8351638,153860,762.953999996185,763.1657864,2609,24.910665512085,25.0772665
ns1688926.mps,13594,121.556999921799,121.8137635,13153,10.375,10.8884656,3744,7.55772018432617,7.6688462
nug08-3rd.mps,4809,11.6139998435974,11.733364,18041,14.5199999809265,14.5784049,18697,19.6464347839355,19.7430123
pds-100.mps,104355,34.5510001182556,35.8113977,80507,15.7160000801086,17.7900662,107779,29.233570098877,29.8564499
physiciansched3-3.mps,75638,52.7080001831055,52.9774888,Inf,Inf,1800.6605621,13600,42.3806400299072,42.7296245
qap15.mps,23,1.67899990081787,1.7103667,32602,5.2519998550415,5.3048282,2478,1.54141235351563,1.6298128
rail4284.mps,42,28.4139997959137,33.0985084,100345,23.5969998836517,29.835278,4495,35.0381717681885,37.2276847
rmine15_lp.mps,94,136.302999973297,136.7349539,362792,250.487999916077,250.801679,285877,155.151287078857,155.4779675
s100.mps,56,19.0550000667572,19.902333,218966,213.511999845505,215.1470803,15352,13.6571063995361,14.1756303
s250r10.mps,64,6.87399983406067,7.4293972,110974,19.4690001010895,20.6465343,8062,8.37862586975098,8.8103886
s82_lp.mps,89,191.544999837875,198.0379743,312764,806.037000179291,816.1636684,83665,205.278448104858,208.0471707
savsched1.mps,187921,106.555000066757,107.5100088,112262,107.235999822617,108.7802217,235747,104.050664901733,104.7233157
scpm1_lp.mps,23,56.0329999923706,60.5486047,80237,110.039000034332,114.0216254,3,37.1274452209473,38.5401661
self.mps,3452,14.3360002040863,14.8845218,9039,9.61800003051758,9.8291617,3646,11.4466037750244,11.734218
square41.mps,491,2.89500021934509,4.3968928,1287,2.13700008392334,3.6828443,852,3.06485939025879,3.8371854
stat96v1.mps,3775,15.7850000858307,16.0406927,12010,9.96199989318848,10.6055192,10588,18.7192573547363,18.9475827
stormG2_1000.mps,49,84.2980000972748,89.3321087,739842,49.547000169754,56.5857077,501360,29.2786598205566,31.570069
supportcase10.mps,22,7.77600002288818,7.8980294,258242,38.805999994278,39.1356941,7917,11.2965679168701,11.7452573
