Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,28865,4.383831024169922,8.6030848
chromaticindex1024-7.mps,Optimal,3.0,28865,4.274396896362305,4.4653801
cont1.mps,Optimal,0.008782486003731119,809,19.869047164916992,20.732397
cont11.mps,Optimal,61.03241168076038,1114,22.685121536254883,23.2978344
datt256_lp.mps,Infeasible,0.0,12237,0.0,30.6153389
degme.mps,Time Limit,Inf,41,30.0,31.8142317
ex10.mps,Optimal,99.99999999999983,8413,10.159296035766602,10.4734167
fhnw-binschedule0_lp.mps,Optimal,12632.888779144976,21346,2.0754661560058594,2.7782412
fome13.mps,Optimal,9.013116837337786e7,14184,1.8904285430908203,2.0847572
graph40-40_lp.mps,Time Limit,Inf,88942,30.0,30.8355002
