Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,28865,4.128932952880859,8.14249
chromaticindex1024-7.mps,Optimal,3.0,28865,4.191953659057617,4.5159684
cont1.mps,Optimal,0.008782486003699646,808,19.858539581298828,20.836732
cont11.mps,Optimal,61.032412073856825,1151,26.705732345581055,27.0127007
datt256_lp.mps,Optimal,256.0000000000023,40635,342.5916557312012,343.0553512
ex10.mps,Optimal,99.99999999999983,8413,7.554714202880859,7.7679524
fhnw-binschedule0_lp.mps,Optimal,12632.888779144976,21346,2.0059967041015625,2.9344302
fome13.mps,Optimal,9.013116837338704e7,14212,2.2060070037841797,2.45394
graph40-40_lp.mps,Optimal,-300.0,94536,49.991315841674805,50.7259106
irish-electricity.mps,Optimal,2.546254563254744e6,12833,6.490751266479492,6.6971653
L1_sixm1000obs.mps,Optimal,17199.14925054678,68153,38.478668212890625,50.3679699
L1_sixm250obs.mps,Optimal,4629.4627947583795,8494,6.953573226928711,8.3613932
Linf_520c.mps,Optimal,0.19886846999999996,21724,19.249948501586914,19.4499611
neos-3025225_lp.mps,Optimal,0.05257405202870382,69131,38.23467826843262,39.4311761
neos-5052403-cygnet.mps,Optimal,179.50037100658992,11920,8.004383087158203,8.3693999
neos-5251015_lp.mps,Optimal,0.1058,92943,13.642295837402344,14.1740992
neos.mps,Optimal,2.2542549220475435e8,18540,12.96898078918457,13.5911437
neos3.mps,Optimal,27777.777777777766,44099,3.464303970336914,4.0674484
ns1687037.mps,Optimal,3.636039835530178,2609,25.09024429321289,25.268766
ns1688926.mps,Optimal,262.1358272305888,3744,7.948993682861328,8.1341864
nug08-3rd.mps,Optimal,214.00000000042556,18697,19.958295822143555,20.0485955
pds-100.mps,Optimal,1.0928229968000004e10,107779,29.820444107055664,30.687401
physiciansched3-3.mps,Optimal,2.432694766158781e6,13600,45.05621147155762,45.5437497
qap15.mps,Optimal,1040.9940409584556,2478,1.55035400390625,1.6501471
rail4284.mps,Optimal,1054.0544912748437,4495,36.50844764709473,38.6348335
rmine15_lp.mps,Optimal,-5042.4829629755495,285877,155.63814544677734,156.1355623
s100.mps,Optimal,-0.17109675893254564,15352,14.127765655517578,14.8157875
s250r10.mps,Optimal,-0.17267704190548072,8062,8.386489868164062,8.8615546
s82_lp.mps,Optimal,-34.57971081824484,83665,203.03846740722656,205.8940707
savsched1.mps,Optimal,217.40357142857138,235747,103.45650100708008,104.2676547
scpm1_lp.mps,Optimal,413.7820860162402,3,38.109130859375,39.5720131
self.mps,Optimal,0.0,3646,11.752511978149414,12.0404368
square41.mps,Optimal,8.83961248655513,852,3.1062068939208984,3.9759214
stat96v1.mps,Optimal,1.9637780943375647,10588,18.28112030029297,18.4933386
stormG2_1000.mps,Optimal,1.5802591120880423e7,501360,32.24377250671387,34.0114333
supportcase10.mps,Optimal,3.3839236661380045,7917,11.483585357666016,11.9718562
