Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,7,8.344,12.8032381
chromaticindex1024-7.mps,Optimal,3,7,8.047,8.2601412
cont1.mps,Optimal,0.008782486,25,54.844,55.2871083
cont11.mps,Error,Inf,0,0,0
datt256_lp.mps,Optimal,256,6,216.062,220.8929759
ex10.mps,Optimal,100.0000095,7,16.281,16.7431222
fhnw-binschedule0_lp.mps,Optimal,12632.88878,13,22.531,23.6194488
fome13.mps,Optimal,90100000,34,12.156,12.4507255
graph40-40_lp.mps,Optimal,-300,8,12.235,13.2355766
irish-electricity.mps,Optimal,2550000,49,9.031,9.3200941
L1_sixm1000obs.mps,Time Limit,0,15,1800,1824.118051
L1_sixm250obs.mps,Optimal,4629.462795,41,48.968,58.8051973
Linf_520c.mps,Time Limit,0,13,1800,1802.788115
neos-3025225_lp.mps,Optimal,0.052574052,17,12.579,13.4266895
neos-5052403-cygnet.mps,Optimal,179.500371,13,5.953,6.3032716
neos-5251015_lp.mps,Optimal,0.1058,22,13.469,14.5928383
neos.mps,Optimal,225000000,40,12.938,14.2453171
neos3.mps,Optimal,27777.77778,10,18.234,19.3071784
ns1687037.mps,Time Limit,0,22,1800,1800.263232
ns1688926.mps,Optimal,262.1357968,37,1.062,1.2738377
nug08-3rd.mps,Optimal,214,8,115.266,115.3125896
pds-100.mps,Optimal,10900000000,50,54.813,56.5435149
physiciansched3-3.mps,Optimal,2430000,60,88.594,89.0668349
qap15.mps,Optimal,1040.994041,15,9.828,9.8718629
rail4284.mps,Optimal,1054.054491,21,23.563,27.0062083
rmine15_lp.mps,Optimal,-5042.482963,33,125.797,126.4884843
s100.mps,Optimal,-0.171096759,27,9.547,10.3280665
s250r10.mps,Optimal,-0.172677042,32,5.891,6.4075111
s82_lp.mps,Optimal,-34.57971082,58,98.765,102.8087295
savsched1.mps,Optimal,217.4035714,15,77.797,78.8992525
scpm1_lp.mps,Optimal,413.782086,29,46.36,50.986098
self.mps,Optimal,0,11,4.719,4.9364944
square41.mps,Optimal,8.839612487,16,8.406,9.5400024
stat96v1.mps,Optimal,1.963779652,122,1150.031,1150.653055
stormG2_1000.mps,Optimal,15800000,38,33.375,37.4750294
supportcase10.mps,Optimal,3.383923666,19,10.75,10.9832651
