Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,8,9.79,14.55
chromaticindex1024-7.mps,Optimal,3,8,9.2,9.51
cont1.mps,Optimal,0.008782486,16,2.5659,3.5316
cont11.mps,Optimal,6.10E+01,129,2.355000019,2.8330315
datt256_lp.mps,Optimal,256.000008,8,2.549999,3.92301
ex10.mps,Optimal,99.99999836,8,17.946,18.118
fhnw-binschedule0_lp.mps,Optimal,12632.88868,23,2.575,4.3924
fome13.mps,Optimal,9.01E+07,20,1.258000135,1.6086208
graph40-40_lp.mps,Optimal,-299.9999988,8,4.014000177,4.8677084
irish-electricity.mps,Optimal,2.55E+06,31,2.011999846,2.385193
L1_sixm1000obs.mps,Optimal,21010.95168,23,122.1160002,141.6964019
L1_sixm250obs.mps,Optimal,4629.462797,18,3.1129999,7.23575
Linf_520c.mps,Optimal,0.19886847,22,10.23200011,10.7317281
neos-3025225_lp.mps,Optimal,0.052574053,18,22.90199995,24.44
neos-5052403-cygnet.mps,Optimal,179.5003711,13,11.89099979,12.6626313
neos-5251015_lp.mps,Optimal,0.1058,6,3.108999968,4.0035728
neos.mps,Optimal,2.25E+08,37,10.39199996,10.7987912
neos3.mps,Optimal,27777.77767,8,14.40199995,15.0246568
ns1687037.mps,Optimal,3.636034527,43,10.26699996,10.592042
ns1688926.mps,Infeasible,0,0,Inf,8.576407
nug08-3rd.mps,Optimal,214,8,2.400000095,2.5220694
pds-100.mps,Optimal,1.09E+10,38,53.47200012,57.4745596
physiciansched3-3.mps,Optimal,2.43E+06,20,18.53200006,19.2601293
qap15.mps,Optimal,1040.994047,13,0.427000046,0.478183
rail4284.mps,Optimal,1054.054503,29,31.66400003,39.6918936
rmine15_lp.mps,Optimal,-5042.482942,22,62.53699994,63.248382
s100.mps,Optimal,-0.171096754,35,13.61599994,15.1967579
s250r10.mps,Optimal,-0.172677042,43,9.052000046,10.9269071
s82_lp.mps,Optimal,-34.57971081,77,193.3540001,208.2341935
savsched1.mps,Optimal,217.4034814,12,10.25999999,12.4446723
scpm1_lp.mps,Optimal,413.782086,17,38.59500003,41.9578691
self.mps,Optimal,1.70E-14,12,1.977999926,3.9375225
square41.mps,Optimal,8.839612568,23,1.718999863,3.5711398
stat96v1.mps,Optimal,1.96E+00,132,3.446000099,3.9944597
stormG2_1000.mps,Optimal,1.58E+07,44,20.13800001,27.1285863
supportcase10.mps,Optimal,3.383923666,17,9.034999847,9.1879866
