Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,0,0.14300012588500977,4.3782374
chromaticindex1024-7.mps,Optimal,3.0,0,0.13700008392333984,0.3285062
cont1.mps,Optimal,0.00878248603603237,21,2.5290000438690186,3.2734401
cont11.mps,Infeasible,0.0,129,0.0,14.7181628
datt256_lp.mps,Optimal,256.0000079927261,6,3.9099998474121094,4.5109788
ex10.mps,Optimal,99.99999835847575,7,8.963000059127808,9.2274655
fhnw-binschedule0_lp.mps,Optimal,12632.888677954727,37,2.491999864578247,3.5627252
fome13.mps,Optimal,9.01311691922163e7,23,1.496000051498413,1.643785
graph40-40_lp.mps,Optimal,-299.9999988267254,9,0.6159999370574951,1.2958045
irish-electricity.mps,Optimal,2.5462545779660656e6,31,20.84599995613098,20.9908324
L1_sixm1000obs.mps,Time Limit,21010.951684837528,14,1800.0,1813.0654699
L1_sixm250obs.mps,Optimal,4629.462796916052,20,8.493000030517578,14.9843996
Linf_520c.mps,Optimal,0.19886847022441223,22,24.427000045776367,26.3246091
neos-3025225_lp.mps,Optimal,0.05257405336964919,17,131.01599979400635,132.3020321
neos-5052403-cygnet.mps,Optimal,179.50037107137092,17,32.14199995994568,32.5612802
neos-5251015_lp.mps,Optimal,0.1058,13,6.050000190734863,6.7748453
neos.mps,Optimal,2.2542548631609356e8,44,14.832000017166138,15.1694998
neos3.mps,Optimal,27777.777670111704,12,2.312000036239624,2.6822016
ns1687037.mps,Optimal,3.636034527100361,103,38.664000034332275,38.8453138
ns1688926.mps,Optimal,317.8304194185872,251,12.434000015258789,12.5894789
nug08-3rd.mps,Optimal,214.00000001428506,7,3.566999912261963,3.6089839
pds-100.mps,Optimal,1.0928229633693172e10,60,161.21099996566772,162.1488476
physiciansched3-3.mps,Optimal,2.432694758065244e6,41,182.02899980545044,182.9867677
qap15.mps,Optimal,1040.9940466129922,14,0.5539999008178711,0.5916847
rail4284.mps,Optimal,1054.0545031636934,24,39.3289999961853,51.9615113
rmine15_lp.mps,Optimal,-5042.482941696284,30,205.9869999885559,208.1677454
s100.mps,Optimal,-0.17109675374233368,41,22.09600019454956,22.8501729
s250r10.mps,Optimal,-0.17267704189873895,53,9.08899998664856,9.6174834
s82_lp.mps,Optimal,-34.57971081467805,65,259.039999961853,283.4130377
savsched1.mps,Optimal,217.4034814255362,14,16.277999877929688,18.8238321
scpm1_lp.mps,Optimal,413.7820860172417,18,75.94899988174438,84.4662819
self.mps,Optimal,1.7011603846179775e-14,10,1.628999948501587,1.7557684
square41.mps,Optimal,8.839612567668738,23,1.0,5.2330952
stat96v1.mps,Infeasible,0.0,65,0.0,1.9948585
stormG2_1000.mps,Optimal,1.580259122950623e7,47,23.848000049591064,39.8215251
supportcase10.mps,Optimal,3.3839236661662673,18,20.104000091552734,22.3178068
