Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,7,1.578,5.8959646
chromaticindex1024-7.mps,Optimal,3,7,1.515,1.7326661
cont1.mps,Optimal,0.008782559,23,6.406,6.831298
cont11.mps,Optimal,61.03431034,27,6.453,6.8649725
datt256_lp.mps,Optimal,256,7,4.672,5.3604106
ex10.mps,Optimal,100,8,34.797,35.0840784
fhnw-binschedule0_lp.mps,Optimal,12632.88878,14,9.375,10.7551067
fome13.mps,Optimal,90100000,29,21.578,21.8589035
graph40-40_lp.mps,Optimal,-300,8,5.203,6.1376391
irish-electricity.mps,Optimal,2550000,43,13.703,14.0208467
L1_sixm1000obs.mps,Time Limit,5110000,2,1800,1867.475601
L1_sixm250obs.mps,Optimal,4629.51724,38,103.078,106.697112
Linf_520c.mps,Optimal,97218.73119,13,14.469,14.7524592
neos-3025225_lp.mps,Optimal,0.052574052,17,28.094,29.0888423
neos-5052403-cygnet.mps,Optimal,179.500371,13,12.562,12.9681175
neos-5251015_lp.mps,Optimal,0.1058,22,14.157,15.2007222
neos.mps,Optimal,225000000,42,25.438,26.4851496
neos3.mps,Optimal,27777.77851,10,34.25,35.3301605
ns1687037.mps,Optimal,151191.9651,14,8.469,8.7123378
ns1688926.mps,Optimal,323.578935,22,1.015,1.2112614
nug08-3rd.mps,Optimal,214,8,174.407,174.447523
pds-100.mps,Optimal,10900000000,50,216.141,218.0544753
physiciansched3-3.mps,Optimal,2430000,61,268,268.7351694
qap15.mps,Optimal,1040.994041,15,24.922,24.9558536
rail4284.mps,Optimal,1054.054491,21,38.218,41.4962964
rmine15_lp.mps,Optimal,-5042.482961,33,607,607.6548362
s100.mps,Optimal,-0.171096759,27,18.563,19.2470243
s250r10.mps,Optimal,-0.172677042,32,7.781,8.3049095
s82_lp.mps,Optimal,-34.57971082,58,242.531,246.6172688
savsched1.mps,Optimal,217.4035714,16,18.61,19.8200813
scpm1_lp.mps,Optimal,413.782086,28,105.875,108.3890493
self.mps,Optimal,2.28E-13,10,1.437,1.5055702
square41.mps,Optimal,8.839612487,17,14.625,15.7121911
stat96v1.mps,Optimal,1.963778939,284,12.797,13.32535
stormG2_1000.mps,Optimal,15800000,37,37.968,42.0053264
supportcase10.mps,Optimal,3.383923666,19,27.218,27.4979354
