Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,9,18.5653357,18.5653357
chromaticindex1024-7.mps,Optimal,3,9,2.4394458,2.4394458
cont1.mps,Optimal,0.00878249,27,13.8649703,13.8649703
cont11.mps,Optimal,61.03241182,27,17.4209323,17.4209323
datt256_lp.mps,Optimal,256,7,17.4798228,17.4798228
ex10.mps,Time Limit,Inf,10,1800,1800
fhnw-binschedule0_lp.mps,Optimal,12632.89,19,18.5406714,18.5406714
fome13.mps,Optimal,9.01E+07,41,221.8835075,221.8835075
graph40-40_lp.mps,Optimal,-300,10,11.6590097,11.6590097
irish-electricity.mps,Optimal,2.45E+06,56,12.1645871,12.1645871
L1_sixm1000obs.mps,Error,Inf,0,0,0
L1_sixm250obs.mps,Error,Inf,0,0,0
Linf_520c.mps,Time Limit,Inf,13,1800,1800
neos-3025225_lp.mps,Time Limit,Inf,32,1800,1800
neos-5052403-cygnet.mps,Optimal,179.5003713,22,169.2994424,169.2994424
neos-5251015_lp.mps,Optimal,0.1058,16,50.3038539,50.3038539
neos.mps,Optimal,225000000,73,211.2558264,211.2558264
neos3.mps,Optimal,27777.78,30,582.7425497,582.7425497
ns1687037.mps,Optimal,5.424459323,22,15.8221812,15.8221812
ns1688926.mps,Infeasible,Inf,100,112.3580403,112.3580403
nug08-3rd.mps,Time Limit,Inf,6,1800,1800
pds-100.mps,Error,Inf,0,0,0
physiciansched3-3.mps,Error,Inf,0,0,0
qap15.mps,Optimal,1040.994001,19,144.5685921,144.5685921
rail4284.mps,Optimal,1054.054456,43,528.9085779,528.9085779
rmine15_lp.mps,Time Limit,Inf,25,1800,1800
s100.mps,Optimal,-0.17109666,100,506.4422679,506.4422679
s250r10.mps,Infeasible,Inf,100,0,81.9808955
s82_lp.mps,Time Limit,Inf,34,1800,1937.822276
savsched1.mps,Optimal,217.4035714,20,149.6964967,149.6964967
scpm1_lp.mps,Optimal,413.782059,25,633.0683324,633.0683324
self.mps,Optimal,0.00E+00,13,9.9077765,9.9077765
square41.mps,Optimal,8.839612494,22,88.1753009,88.1753009
stat96v1.mps,Infeasible,Inf,100,0,84.7922261
stormG2_1000.mps,Optimal,1.58E+07,69,1113.677478,1113.677478
supportcase10.mps,Optimal,3.383923667,28,1497.547035,1497.547035
