Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,0,3.474374771118164,7.5740701
chromaticindex1024-7.mps,Optimal,3.0,0,3.3677940368652344,3.5283399
cont1.mps,Optimal,0.008782486003731119,11,13.565973281860352,14.3592663
cont11.mps,Optimal,61.03241161346798,24,29.262229919433594,29.4903304
datt256_lp.mps,Optimal,255.99999999999878,5,524.9822864532471,525.3787253
ex10.mps,Optimal,99.99999999999974,8,35.52456474304199,35.6450129
fhnw-binschedule0_lp.mps,Optimal,12632.88877914449,36,6.7535247802734375,7.667909
fome13.mps,Optimal,9.013116837336834e7,33,2.118478775024414,2.3272231
graph40-40_lp.mps,Optimal,-300.0,7,35.44100379943848,36.1101783
irish-electricity.mps,Optimal,2.5462545631389855e6,47,149.53077125549316,149.6770533
L1_sixm1000obs.mps,Time Limit,Inf,8,1800.0,1813.0132877
L1_sixm250obs.mps,Optimal,4629.4627947583795,22,15.993610382080078,19.7488794
Linf_520c.mps,Optimal,0.19886846999999996,22,18.50719451904297,20.2185238
neos-3025225_lp.mps,Optimal,0.05257405202860428,15,32.04924011230469,32.5955626
neos-5052403-cygnet.mps,Optimal,179.50037100658994,12,8.288890838623047,8.6809246
neos-5251015_lp.mps,Optimal,0.1058,8,7.444681167602539,8.1463724
neos.mps,Optimal,2.2542549220475435e8,55,13.483482360839844,15.4452874
neos3.mps,Optimal,27777.77777777778,9,3.543802261352539,3.9511052
ns1687037.mps,Optimal,3.6360349277926116,120,29.19190788269043,29.32091
ns1688926.mps,Optimal,262.13583019262353,34,6.307424545288086,6.41611
nug08-3rd.mps,Optimal,214.00000005433336,8,27.725656509399414,27.7605612
pds-100.mps,Optimal,1.0928229967999987e10,38,54.563106536865234,55.4412026
physiciansched3-3.mps,Optimal,2.4326947661587824e6,49,75.66408920288086,77.4731919
qap15.mps,Optimal,1040.994040958579,15,1.3983154296875,1.4256297
rail4284.mps,Optimal,1054.0544912748428,39,36.25718879699707,41.4485521
rmine15_lp.mps,Optimal,-5042.482962975549,32,127.03956413269043,128.9920917
s100.mps,Optimal,-0.1710967589325456,45,14.690319061279297,15.3999768
s250r10.mps,Optimal,-0.17267704190548067,56,8.359888076782227,8.729132
s82_lp.mps,Optimal,-34.579710818244834,78,165.71342658996582,175.1302509
savsched1.mps,Optimal,217.40357142857135,15,94.00723075866699,96.661653
scpm1_lp.mps,Optimal,413.78208601624004,20,36.91735076904297,41.4947355
self.mps,Optimal,0.0,8,9.454139709472656,9.5230289
square41.mps,Optimal,8.839612486504219,31,3.1877193450927734,3.918817
stat96v1.mps,Optimal,1.9637772337697923,61,18.02945899963379,18.2249763
stormG2_1000.mps,Optimal,1.580259112088034e7,75,46.42855453491211,55.32898
supportcase10.mps,Optimal,3.3839236661380045,14,9.594165802001953,11.3970456
