Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,7,8.485,12.8373223
chromaticindex1024-7.mps,Optimal,3,7,8.453,8.6549026
cont1.mps,Optimal,0.008782487,26,420.766,421.2142744
cont11.mps,Error,Inf,0,0,0
datt256_lp.mps,Optimal,256,6,217.625,223.9674646
ex10.mps,Optimal,100.0000085,7,37.438,37.8597273
fhnw-binschedule0_lp.mps,Optimal,12632.88878,13,24.406,25.4509217
fome13.mps,Optimal,9.01E+07,33,28.281,28.5366551
graph40-40_lp.mps,Optimal,-300,8,14.062,15.0125222
irish-electricity.mps,Optimal,2.55E+06,49,15.875,16.1428227
L1_sixm1000obs.mps,Time Limit,0,2,1800,1878.861579
L1_sixm250obs.mps,Optimal,4629.462795,40,108.719,117.4350169
Linf_520c.mps,Time Limit,0,13,1800,1802.385837
neos-3025225_lp.mps,Optimal,0.052574052,17,30.5,31.3000759
neos-5052403-cygnet.mps,Optimal,179.500371,13,13.203,13.5553492
neos-5251015_lp.mps,Optimal,0.1058,22,16.781,17.9043926
neos.mps,Optimal,2.25E+08,43,26.468,27.105484
neos3.mps,Optimal,27777.77778,10,40.985,42.4531325
ns1687037.mps,Time Limit,0,14,1800,1800.285443
ns1688926.mps,Optimal,262.1358494,22,1.171,1.3043431
nug08-3rd.mps,Optimal,214,8,252.906,253.0193029
pds-100.mps,Optimal,1.09E+10,50,217.282,219.020612
physiciansched3-3.mps,Optimal,2.43E+06,60,264.875,265.6419823
qap15.mps,Optimal,1040.994041,15,26.484,26.5248334
rail4284.mps,Optimal,1054.054491,21,39.407,42.8774709
rmine15_lp.mps,Optimal,-5042.482963,33,617.172,617.7687589
s100.mps,Optimal,-0.171096759,27,19.078,19.7698811
s250r10.mps,Optimal,-0.172677042,32,7.984,8.5597723
s82_lp.mps,Optimal,-34.57971082,58,247.891,252.0907178
savsched1.mps,Optimal,217.4035714,15,83.938,85.1329139
scpm1_lp.mps,Optimal,413.782086,29,112.047,115.2436458
self.mps,Optimal,0,11,5.593,5.7928097
square41.mps,Optimal,8.839612487,16,15.719,16.8784815
stat96v1.mps,Optimal,1.963776878,284,93.891,94.4910576
stormG2_1000.mps,Optimal,1.58E+07,36,40.469,44.554417
supportcase10.mps,Optimal,3.383923666,19,27.672,27.9182798
