Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time,Status,Obj_Value,Iterations,Solver_Time,Julia_Time,Status,Obj_Value,Iterations,Solver_Time,Julia_Time,Status,Obj_Value,Iterations,Solver_Time,Julia_Time,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,0,27.07800007,27.5255495,Optimal,3,111747,95.00699997,99.804093,Optimal,3,28865,3.093688965,3.228208,Optimal,3,1,1.537999868,1.7418747,Optimal,3.79E+00,93051,205.92,206.22
chromaticindex1024-7.mps,Optimal,3,0,27.03699994,27.1862533,Optimal,3,111747,95.08299994,95.4342218,Optimal,3,28865,3.131708145,3.2671704,Optimal,3,1,1.514000177,1.7310599,Optimal,3.79E+00,93051,187.42,187.72
cont1.mps,Optimal,0.008782488,0,272.0549998,272.2323777,Optimal,0.008782486,21472,103.1930001,104.0369739,Optimal,0.008782486,42339,56.85406303,57.3866583,Optimal,0.008782486,31808,150.4719999,151.2527428,Optimal,0.008782486,45069,543.53,543.83
cont11.mps,Infeasible,Inf,0,Inf,1805.466475,Optimal,61.03241293,165869,691.7909999,692.3398889,Optimal,61.03241145,32955,194.9880428,195.2118482,Time Limit,Inf,123001,Inf,1204.23448,Time Limit,Inf,55000,1200.31,1200.61
datt256_lp.mps,Infeasible,Inf,0,Inf,1800.041025,Optimal,256,90178,944.9879999,946.1109956,Optimal,256,40635,256.820406,257.1736353,Time Limit,Inf,244639,Inf,1201.145422,Time Limit,Inf,175000,1201.1,1201.4
ex10.mps,Optimal,100,0,467.7389998,467.9593195,Time Limit,Inf,131645,Inf,1200.222664,Optimal,100,8413,4.863775253,4.9841639,Optimal,100,51679,10.52099991,10.7981827,Optimal,100,61457,282.45,282.75
fhnw-binschedule0_lp.mps,Optimal,12632.88878,0,651.47,652.4326608,Optimal,12632.88878,74295,16.898,18.6059796,Optimal,12632.88878,28524,1.543348312,2.0398577,Optimal,12632.88878,11395,5.174999952,6.0724952,Optimal,12632.88878,136911,174.14,174.44
fome13.mps,Optimal,9.01E+07,0,53.18200016,53.4654054,Optimal,9.01E+07,46498,4.259000063,4.5784893,Optimal,9.01E+07,30837,4.922828674,5.179418,Optimal,9.01E+07,15870,3.270999908,3.5192403,Optimal,9.01E+07,136935,111.95,112.25
graph40-40_lp.mps,Optimal,-300,0,1084.859,1085.37997,Time Limit,Inf,320970,Inf,1200.80128,Optimal,-300,107600,257.8574009,258.511286,Optimal,-300,924,30.93199992,31.5640515,Time Limit,Inf,23000,1201.5,1201.8
irish-electricity.mps,Optimal,2.45E+06,0,163.151,163.2508462,Optimal,2.55E+06,40035,15.56900001,15.8900928,Optimal,2.55E+06,86167,57.00491142,57.146282,Optimal,2.55E+06,26534,15.04700017,15.2042577,Optimal,2.55E+06,64018,123.63,123.93
