Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,111747,95.00699997,99.804093
chromaticindex1024-7.mps,Optimal,3,111747,95.08299994,95.4342218
cont1.mps,Optimal,0.008782486,21472,103.1930001,104.0369739
cont11.mps,Optimal,61.03241293,165869,691.7909999,692.3398889
datt256_lp.mps,Optimal,256,90178,944.9879999,946.1109956
ex10.mps,Time Limit,Inf,131645,Inf,1200.222664
fhnw-binschedule0_lp.mps,Optimal,12632.88878,74295,16.898,18.6059796
fome13.mps,Optimal,9.01E+07,46498,4.259000063,4.5784893
graph40-40_lp.mps,Time Limit,Inf,320970,Inf,1200.80128
irish-electricity.mps,Optimal,2.55E+06,40035,15.56900001,15.8900928
L1_sixm1000obs.mps,Optimal,17199.14925,54950,13.60400009,30.3887461
L1_sixm250obs.mps,Optimal,4629.462795,7321,2.616000175,6.3829137
Linf_520c.mps,Optimal,0.19886847,186433,221.7619998,222.3072577
neos-3025225_lp.mps,Optimal,0.052574052,150378,635.0909998,637.0763083
neos-5052403-cygnet.mps,Optimal,179.500371,38877,17.45000005,18.2224234
neos-5251015_lp.mps,Optimal,0.1058,326,2.944999933,3.8268809
neos.mps,Optimal,2.25E+08,126677,9.231999874,9.634579
neos3.mps,Optimal,27777.77778,67930,14.68099999,15.442785
ns1687037.mps,Time Limit,Inf,179500,Inf,1199.556248
ns1688926.mps,Optimal,262.1358251,7631,6.84100008,7.0371262
nug08-3rd.mps,Optimal,214,19949,13.68700004,13.7576657
pds-100.mps,Optimal,1.09E+10,81969,15.7190001,17.9785718
physiciansched3-3.mps,Time Limit,Inf,744855,Inf,1199.554579
qap15.mps,Optimal,1040.994041,49705,11.0309999,11.401251
rail4284.mps,Optimal,1054.054491,105059,36.15400004,42.5656065
rmine15_lp.mps,Optimal,-5042.482963,362792,268.9810002,269.4769098
s100.mps,Optimal,-0.171096759,176096,239.217,240.8805118
s250r10.mps,Optimal,-0.172677042,120073,32.35699987,33.542377
s82_lp.mps,Optimal,-34.40230717,323016,974.4230001,985.0044756
savsched1.mps,Optimal,217.4035714,119906,87.02999997,89.0081521
scpm1_lp.mps,Optimal,413.782086,99970,194.954,199.5521589
self.mps,Optimal,0,10194,16.73199987,17.4307437
square41.mps,Optimal,8.839612487,1223,1.769999981,3.5196021
stat96v1.mps,Optimal,1.96377783,10411,12.12599993,12.7812708
stormG2_1000.mps,Optimal,1.58E+07,718121,41.26600003,48.104761
supportcase10.mps,Optimal,3.383923666,258242,41.66299987,41.8183555
