Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,28865,3.093688965,3.228208
chromaticindex1024-7.mps,Optimal,3,28865,3.131708145,3.2671704
cont1.mps,Optimal,0.008782486,42339,56.85406303,57.3866583
cont11.mps,Optimal,61.03241145,32955,194.9880428,195.2118482
datt256_lp.mps,Optimal,256,40635,256.820406,257.1736353
ex10.mps,Optimal,100,8413,4.863775253,4.9841639
fhnw-binschedule0_lp.mps,Optimal,12632.88878,28524,1.543348312,2.0398577
fome13.mps,Optimal,9.01E+07,30837,4.922828674,5.179418
graph40-40_lp.mps,Optimal,-300,107600,257.8574009,258.511286
irish-electricity.mps,Optimal,2.55E+06,86167,57.00491142,57.146282
L1_sixm1000obs.mps,Optimal,17199.14925,68153,25.4901104,40.9762832
L1_sixm250obs.mps,Optimal,4629.462795,8494,5.329177856,9.302945
Linf_520c.mps,Optimal,0.19886847,66270,57.01471519,57.1603172
neos-3025225_lp.mps,Optimal,0.052574052,103351,366.5282078,367.6467555
neos-5052403-cygnet.mps,Optimal,179.500371,63917,33.66435242,33.9914637
neos-5251015_lp.mps,Optimal,0.1058,58138,44.51833725,45.0140014
neos.mps,Optimal,2.25E+08,109789,9.361459732,10.0160693
neos3.mps,Optimal,27777.77778,44099,2.603740692,3.0423508
ns1687037.mps,Optimal,3.656842796,169294,823.2160912,823.3486516
ns1688926.mps,Optimal,262.1358272,3744,4.94616127,5.1216868
nug08-3rd.mps,Optimal,214,18697,14.2505703,14.2811891
pds-100.mps,Optimal,1.09E+10,107779,11.71960068,12.5539873
physiciansched3-3.mps,Time Limit,Inf,530359,Inf,1200.286616
qap15.mps,Optimal,1040.994041,53410,10.10245132,10.1294929
rail4284.mps,Optimal,1054.054491,82447,27.73830414,29.9287072
rmine15_lp.mps,Optimal,-5042.482963,258089,348.0390797,348.4817902
s100.mps,Optimal,-0.171096756,77762,80.77103615,81.2605649
s250r10.mps,Optimal,-0.172677042,67451,14.7116375,15.0822651
s82_lp.mps,Optimal,-34.57971082,404501,1100.270538,1103.153145
savsched1.mps,Optimal,217.4035714,199312,494.2698631,494.8692942
scpm1_lp.mps,Optimal,413.782086,42346,184.8632622,186.2972356
self.mps,Optimal,0,5656,11.62257195,12.0473516
square41.mps,Optimal,8.839612487,852,2.086294174,3.1864556
stat96v1.mps,Optimal,1.963778094,10588,12.47215462,12.7421976
stormG2_1000.mps,Optimal,1.58E+07,501360,18.77015495,21.4058017
supportcase10.mps,Optimal,3.383923666,112730,15.39042282,15.5237462
