Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,1,1.537999868,1.7418747
chromaticindex1024-7.mps,Optimal,3,1,1.514000177,1.7310599
cont1.mps,Optimal,0.008782486,31808,150.4719999,151.2527428
cont11.mps,Time Limit,Inf,123001,Inf,1204.23448
datt256_lp.mps,Time Limit,Inf,244639,Inf,1201.145422
ex10.mps,Optimal,100,51679,10.52099991,10.7981827
fhnw-binschedule0_lp.mps,Optimal,12632.88878,11395,5.174999952,6.0724952
fome13.mps,Optimal,9.01E+07,15870,3.270999908,3.5192403
graph40-40_lp.mps,Optimal,-300,924,30.93199992,31.5640515
irish-electricity.mps,Optimal,2.55E+06,26534,15.04700017,15.2042577
L1_sixm1000obs.mps,Optimal,17199.14925,136715,82.72799993,104.9362199
L1_sixm250obs.mps,Optimal,4629.462795,13194,4.315999985,8.2954537
Linf_520c.mps,Optimal,0.19886847,141795,328.961,329.1095594
neos-3025225_lp.mps,Time Limit,Inf,180131,Inf,1202.193553
neos-5052403-cygnet.mps,Optimal,179.500371,123636,112.3789999,112.8314998
neos-5251015_lp.mps,Time Limit,Inf,142844,Inf,1200.878926
neos.mps,Optimal,2.25E+08,116079,9.500999928,10.0055913
neos3.mps,Optimal,27777.77778,777,0.907999992,1.5283436
ns1687037.mps,Time Limit,Inf,278193,Inf,1200.464121
ns1688926.mps,Optimal,262.1358325,13594,4.145999908,4.3202832
nug08-3rd.mps,Optimal,214,4809,6.43599987,6.4722304
pds-100.mps,Optimal,1.09E+10,104355,11.73399997,12.8822672
physiciansched3-3.mps,Optimal,2.43E+06,75638,21.01400018,21.2838266
qap15.mps,Optimal,1040.994041,46701,9.368000031,9.3956481
rail4284.mps,Optimal,1054.054491,116286,50.06500006,54.337285
rmine15_lp.mps,Optimal,-5042.482963,97585,123.5039999,124.2020409
s100.mps,Optimal,-0.171096756,214176,354.0999999,354.8749089
s250r10.mps,Optimal,-0.172677042,68649,15.29100013,15.9459211
s82_lp.mps,Optimal,-34.57971082,218030,783.973,790.6711944
savsched1.mps,Optimal,217.4035714,108611,302.4100001,303.5129185
scpm1_lp.mps,Optimal,413.782086,123439,348.444,350.8950932
self.mps,Optimal,0,9216,12.27099991,12.4114484
square41.mps,Optimal,8.839612487,491,1.749000072,3.3414094
stat96v1.mps,Optimal,1.963776984,8430,9.742999792,9.9941353
stormG2_1000.mps,Optimal,1.58E+07,763567,68.33500004,72.5904376
supportcase10.mps,Optimal,3.383923666,61579,5.711999893,5.9585577
