Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.79E+00,93051,205.92,206.22
chromaticindex1024-7.mps,Optimal,3.79E+00,93051,187.42,187.72
cont1.mps,Optimal,0.008782486,45069,543.53,543.83
cont11.mps,Time Limit,Inf,55000,1200.31,1200.61
datt256_lp.mps,Time Limit,Inf,175000,1201.1,1201.4
ex10.mps,Optimal,100,61457,282.45,282.75
fhnw-binschedule0_lp.mps,Optimal,12632.88878,136911,174.14,174.44
fome13.mps,Optimal,9.01E+07,136935,111.95,112.25
graph40-40_lp.mps,Time Limit,Inf,23000,1201.5,1201.8
irish-electricity.mps,Optimal,2.55E+06,64018,123.63,123.93
L1_sixm1000obs.mps,Time Limit,Inf,145000,1218.86,1219.16
L1_sixm250obs.mps,Optimal,4629.462795,91691,277.98,278.28
Linf_520c.mps,Time Limit,Inf,95000,1200.2,1200.5
neos-3025225_lp.mps,Optimal,0.052574052,66446,602.27,602.57
neos-5052403-cygnet.mps,Optimal,179.500371,63917,60.31,60.61
neos-5251015_lp.mps,Time Limit,0.1058,74642,1200,1215.84916
neos.mps,Optimal,2.25E+08,119911,65.828,66.8646933
neos3.mps,Optimal,27777.77778,257183,1076,1076.941925
ns1687037.mps,Time Limit,-424.1318464,261532,1200,1204.057434
ns1688926.mps,Time Limit,292.4445737,534793,1200,1201.382351
nug08-3rd.mps,Optimal,214,99668,919.094,919.1671904
pds-100.mps,Optimal,1.09E+10,62511,29.734,31.2210788
physiciansched3-3.mps,Optimal,2.43E+06,153627,234.297,235.2507304
qap15.mps,Optimal,1040.994066,480769,785.375,785.4096118
rail4284.mps,Optimal,1054.054491,69495,1008.578,1011.934476
rmine15_lp.mps,Time Limit,-5033.233735,317000,1200,1204.73194
s100.mps,Optimal,-0.158728044,78190,28.516,29.2671037
s250r10.mps,Optimal,-0.154430889,78830,18.718,19.2504463
s82_lp.mps,Time Limit,-34.01423546,520000,1200,1211.25514
savsched1.mps,Optimal,217.4035446,320609,882.859,884.4175525
scpm1_lp.mps,Time Limit,390.3264099,65000,1200,1216.097738
self.mps,Optimal,0,0,0.203,0.4112352
square41.mps,Time Limit,8.88429024,2193427,1200,1201.902134
stat96v1.mps,Optimal,1.963777566,34626,59.891,60.2362098
stormG2_1000.mps,Optimal,1.58E+07,389085,194.25,198.3846949
supportcase10.mps,Optimal,3.383923666,90187,70.391,70.6766682
