Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,2.9999997963307696,0,132.7979998588562,138.0125485
chromaticindex1024-7.mps,Optimal,2.9999997963307696,0,136.11999988555908,136.3631307
cont1.mps,Optimal,0.0087824921747382,0,211.26899981498718,211.6693556
cont11.mps,Optimal,61.03238280581201,0,1310.3519999980927,1310.4988082
datt256_lp.mps,Optimal,256.0,0,502.47000002861023,502.6975465
ex10.mps,Optimal,100.00000000000009,0,702.2339999675751,702.3515837
fhnw-binschedule0_lp.mps,Optimal,12632.888779145005,0,137.31000018119812,138.2470365
fome13.mps,Optimal,9.013116837336688e7,0,107.70499992370605,107.8347508
graph40-40_lp.mps,Optimal,-300.0,0,570.3380000591278,570.7233546
irish-electricity.mps,Optimal,2.454682362754796e6,0,353.8100001811981,354.0236004
L1_sixm1000obs.mps,Infeasible,Inf,0,Inf,1801.2759134
L1_sixm250obs.mps,Infeasible,Inf,0,Inf,1800.2850622
Linf_520c.mps,Optimal,0.19886847000014563,0,714.0429999828339,714.1363294
neos-3025225_lp.mps,Optimal,0.0525740071465957,0,718.3639998435974,719.4825249
neos-5052403-cygnet.mps,Optimal,179.50037100658722,0,269.6909999847412,270.0387368
neos-5251015_lp.mps,Optimal,0.1058,0,624.0499999523163,624.8181078
neos.mps,Optimal,2.2542549220475432e8,0,96.84599995613098,97.3177248
neos3.mps,Infeasible,Inf,0,Inf,1800.0250126
ns1687037.mps,Optimal,3.636034890494693,0,339.2260000705719,339.547255
ns1688926.mps,Optimal,262.1358191718675,0,313.82299995422363,313.941006
nug08-3rd.mps,Infeasible,Inf,0,Inf,1800.0114852
pds-100.mps,Infeasible,Inf,0,Inf,0.8102838
physiciansched3-3.mps,Infeasible,Inf,0,Inf,1800.02169
qap15.mps,Optimal,1040.9940409584851,0,99.37899994850159,99.3961411
rail4284.mps,Optimal,1054.054491274841,0,1514.5920000076294,1516.2757329
rmine15_lp.mps,Infeasible,Inf,0,Inf,1800.025676
s100.mps,Optimal,-0.17109678712769483,0,30.95899987220764,31.4139562
s250r10.mps,Optimal,-0.17267706404122463,0,13.904000043869019,14.186186
s82_lp.mps,Infeasible,Inf,0,Inf,1800.0816011
savsched1.mps,Optimal,217.40357142857133,0,441.2279999256134,441.8087474
scpm1_lp.mps,Optimal,413.779887850671,0,1793.3739998340607,1794.5056554
self.mps,Optimal,-5.912840435023145e-6,0,21.14400005340576,21.2227939
square41.mps,Optimal,8.83961248654463,0,935.0629999637604,935.9902172
stat96v1.mps,Optimal,1.9506750575743808,0,53.69799995422363,53.8518809
stormG2_1000.mps,Infeasible,Inf,0,Inf,1800.3571971
supportcase10.mps,Optimal,3.383923666138002,0,65.53999996185303,65.6452492
