Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,28865,3.01266861,3.188263
chromaticindex1024-7.mps,Optimal,3,28865,3.255723953,3.3831725
cont1.mps,Optimal,0.008782487,49085,188.0078278,188.7500127
cont11.mps,Time Limit,Inf,48846,Inf,1201.266928
datt256_lp.mps,Time Limit,Inf,195671,Inf,1200.480168
ex10.mps,Optimal,100,17737,11.62158585,11.9055588
fhnw-binschedule0_lp.mps,Optimal,12632.88878,21346,1.35618782,1.932508
fome13.mps,Optimal,9.01E+07,38293,6.042097092,6.1867641
graph40-40_lp.mps,Optimal,-300,97253,84.53722382,84.9636789
irish-electricity.mps,Infeasible,Inf,194961,Inf,149.3104396
L1_sixm1000obs.mps,Optimal,17199.14925,126248,71.28835487,88.2254524
L1_sixm250obs.mps,Optimal,4629.462795,15500,6.143360138,9.4012888
Linf_520c.mps,Optimal,0.19886847,244652,725.1914349,725.5499846
neos-3025225_lp.mps,Optimal,0.052574052,104398,377.1651192,377.7059208
neos-5052403-cygnet.mps,Optimal,179.500371,317810,284.0994053,284.3782732
neos-5251015_lp.mps,Time Limit,Inf,153230,Inf,1200.715059
neos.mps,Optimal,2.25E+08,322219,103.0422058,103.4164695
neos3.mps,Optimal,27777.77778,20406,20.71143341,21.2779226
ns1687037.mps,Time Limit,Inf,275467,Inf,1200.286709
ns1688926.mps,Optimal,262.1358169,9591,18.57615471,18.7643811
nug08-3rd.mps,Optimal,214,40554,38.27910614,38.3167614
pds-100.mps,Optimal,1.09E+10,684842,203.2408485,204.0346421
physiciansched3-3.mps,Optimal,2.43E+06,147465,108.4871368,108.7865922
qap15.mps,Optimal,1040.994041,19360,4.406576157,4.4369911
rail4284.mps,Time Limit,Inf,3633196,Inf,1202.617936
rmine15_lp.mps,Optimal,-5042.482963,619238,1086.378614,1086.678606
s100.mps,Optimal,-0.171096692,176841,35.22266769,35.7153035
s250r10.mps,Optimal,-0.172677042,92270,5.362503052,5.7435642
s82_lp.mps,Time Limit,Inf,853096,Inf,1202.634823
savsched1.mps,Optimal,217.4035714,285993,102.6610336,103.2410949
scpm1_lp.mps,Optimal,413.782086,281661,594.1850414,596.3015609
self.mps,Optimal,0,10020,25.12714958,25.1940906
square41.mps,Optimal,8.839612486,3646,4.029882431,5.2469421
stat96v1.mps,Optimal,1.963778081,45145,23.01549149,23.2099976
stormG2_1000.mps,Optimal,1.58E+07,579766,659.0533695,661.9534382
supportcase10.mps,Optimal,3.383923666,39775,37.71613121,37.8533541
