Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,1,1.421000004,1.5796569
chromaticindex1024-7.mps,Optimal,3,1,1.40199995,1.7204119
cont1.mps,Optimal,0.008782486,15469,60.75900006,61.0530005
cont11.mps,Optimal,61.03241205,63343,968.1990001,968.4062411
datt256_lp.mps,Time Limit,Inf,142282,Inf,1201.295801
ex10.mps,Optimal,100,21008,12.4749999,12.676533
fhnw-binschedule0_lp.mps,Optimal,12632.88878,19505,3.954999924,4.5851824
fome13.mps,Optimal,9.01E+07,28010,4.282999992,4.5440234
graph40-40_lp.mps,Optimal,-300,633,34.204,34.6082314
irish-electricity.mps,Optimal,2.55E+06,198245,63.42799997,63.5711313
L1_sixm1000obs.mps,Time Limit,Inf,480066,Inf,1201.987057
L1_sixm250obs.mps,Optimal,4629.462795,24912,6.240999937,8.6662299
Linf_520c.mps,Time Limit,Inf,1176543,Inf,1201.987057
neos-3025225_lp.mps,Time Limit,Inf,104077,Inf,1201.528311
neos-5052403-cygnet.mps,Optimal,179.500371,233036,104.615,105.0992494
neos-5251015_lp.mps,Time Limit,Inf,614163,Inf,1200.882147
neos.mps,Optimal,2.25E+08,247678,17.98200011,18.9785273
neos3.mps,Optimal,27777.77778,5196,1.362000227,1.7522495
ns1687037.mps,Time Limit,Inf,29880,Inf,1202.987758
ns1688926.mps,Optimal,262.1358234,322163,561.3199999,561.4750693
nug08-3rd.mps,Optimal,214,42088,66.29700017,66.4098323
pds-100.mps,Optimal,1.09E+10,819594,141.378,142.4545003
physiciansched3-3.mps,Optimal,2.43E+06,93773,44.70100021,44.9671936
qap15.mps,Optimal,1040.994041,14286,4.245000124,4.2722024
rail4284.mps,Optimal,1054.054491,570696,63.17199993,67.761018
rmine15_lp.mps,Optimal,-5042.482963,370237,993.299,993.726183
s100.mps,Optimal,-0.17109675,273974,14.84099984,15.8573416
s250r10.mps,Optimal,-0.172677042,322956,23.59299994,24.2939478
s82_lp.mps,Time Limit,Inf,3150084,Inf,1207.731007
savsched1.mps,Optimal,217.4035714,187921,58.72399998,59.7842302
scpm1_lp.mps,Optimal,413.782086,22162,88.773,91.3065804
self.mps,Optimal,0,9634,16.42599988,16.5639939
square41.mps,Optimal,8.839612487,14930,5.02699995,6.9566844
stat96v1.mps,Optimal,1.963777383,898115,125.9590001,126.2078343
stormG2_1000.mps,Optimal,1.58E+07,192070,84.9230001,89.6861752
supportcase10.mps,Optimal,3.383923666,57172,44.09299994,44.2228766
