Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,100749,239.438,243.8024677
chromaticindex1024-7.mps,Optimal,3.0,100749,218.094,218.3040639
cont1.mps,Optimal,0.008782486003705051,43062,494.109,494.5747706
cont11.mps,Time Limit,102.3737095563173,100000,1200.0,1207.055472
datt256_lp.mps,Time Limit,256.0,149000,1200.0,1205.9543276
ex10.mps,Optimal,99.99999999993636,188576,70.922,71.2084537
fhnw-binschedule0_lp.mps,Optimal,12632.888779144987,37721,3.781,5.0592908
fome13.mps,Optimal,9.013116837337294e7,2563420,948.656,948.8986362
graph40-40_lp.mps,Time Limit,-300.0,351000,1200.0,1204.579199
irish-electricity.mps,Optimal,2.5462545563075263e6,515827,413.812,414.3439458
L1_sixm1000obs.mps,Time Limit,16429.282188071797,400000,1200.0,1221.6057323
L1_sixm250obs.mps,Optimal,4629.462794757948,127697,62.594,68.695792
Linf_520c.mps,Time Limit,32.4442257074257,228000,1200.0,1203.5173991
neos-3025225_lp.mps,Time Limit,0.0149127038955927,221000,1200.0,1210.1223346
neos-5052403-cygnet.mps,Optimal,179.50037100659011,114463,30.047,30.4334742
neos-5251015_lp.mps,Optimal,0.1058,78462,429.703,430.8204755
neos.mps,Optimal,2.2542549220475018e8,113560,8.016,8.8556621
neos3.mps,Optimal,27777.77777777784,9063,5.797,6.8045847
ns1687037.mps,Time Limit,24086.067615437736,509000,1200.0,1201.9735674
ns1688926.mps,Time Limit,276.30940599571204,1143000,1200.0,1202.0762239
nug08-3rd.mps,Time Limit,298.0000000001004,146000,1200.0,1201.3050489
pds-100.mps,Optimal,1.0928229968e10,971806,380.922,382.3887346
physiciansched3-3.mps,Optimal,2.4326947661588625e6,460650,197.156,197.9298185
qap15.mps,Time Limit,1040.994040958497,1164192,1200.0,1200.6570945
rail4284.mps,Optimal,1054.0544912748433,86492,61.281,64.5407775
rmine15_lp.mps,Time Limit,-5066.031977602423,554000,1200.0,1201.4806641
s100.mps,Optimal,-0.15715859164168644,80985,10.89,11.5544323
s250r10.mps,Optimal,-0.15917738379536378,31920,6.078,6.5767315
s82_lp.mps,Time Limit,-33.724082010870895,1118000,1200.0,1205.7205512
savsched1.mps,Optimal,217.4035714285718,527218,735.094,736.2693853
scpm1_lp.mps,Optimal,413.78208601626386,187226,790.063,794.796578
self.mps,Optimal,0.0,29,0.172,0.2424242
square41.mps,Time Limit,13.931751044514126,1781000,1200.0,1201.5532777
stat96v1.mps,Optimal,1.9638704660076733,253625,323.281,323.5981745
stormG2_1000.mps,Optimal,1.580259112087686e7,579594,689.453,693.8057734
supportcase10.mps,Time Limit,3.3729830967237877,721000,1200.0,1200.8961735
