Problem,Status_FICO_Xpress_Dual,Obj_Value_FICO_Xpress_Dual,Iterations_FICO_Xpress_Dual,Solver_Time_FICO_Xpress_Dual,Julia_Time_FICO_Xpress_Dual,Status_FICO_Xpress_Primal,Obj_Value_FICO_Xpress_Primal,Iterations_FICO_Xpress_Primal,Solver_Time_FICO_Xpress_Primal,Julia_Time_FICO_Xpress_Primal
chromaticindex1024-7.mps,Optimal,3,111747,95.08299994,95.4342218,Optimal,3,164935,127.0960002,127.3576234
cont1.mps,Optimal,0.008782486,21472,103.1930001,104.0369739,Time Limit,Inf,124692,Inf,1209.180156
cont11.mps,Optimal,61.03241293,165869,691.7909999,692.3398889,Time Limit,Inf,94051,Inf,1201.602745
datt256_lp.mps,Optimal,256,90178,944.9879999,946.1109956,Time Limit,Inf,62053,Inf,1208.504531
ex10.mps,Time Limit,Inf,131645,Inf,1200.222664,Optimal,100,32680,47.16899991,47.3420493
fhnw-binschedule0_lp.mps,Optimal,12632.88878,74295,16.898,18.6059796,Optimal,12632.88878,77869,10.83500004,12.2613847
fome13.mps,Optimal,9.01E+07,46498,4.259000063,4.5784893,Optimal,9.01E+07,54516,6.888000011,7.2764834
graph40-40_lp.mps,Time Limit,Inf,320970,Inf,1200.80128,Time Limit,Inf,340626,Inf,1200.782556
irish-electricity.mps,Optimal,2.55E+06,40035,15.56900001,15.8900928,Optimal,2.55E+06,258527,162.0840001,162.4494497
L1_sixm1000obs.mps,Optimal,17199.14925,54950,13.60400009,30.3887461,Optimal,17199.14925,111009,41.99300003,58.9214415
L1_sixm250obs.mps,Optimal,4629.462795,7321,2.616000175,6.3829137,Optimal,4629.462795,13328,3.141000032,7.4267181
Linf_520c.mps,Optimal,0.19886847,186433,221.7619998,222.3072577,Time Limit,Inf,162911,Inf,1200.127446
neos-3025225_lp.mps,Optimal,0.052574052,150378,635.0909998,637.0763083,Optimal,0.052574052,69248,364.2839999,370.3115236
neos-5052403-cygnet.mps,Optimal,179.500371,38877,17.45000005,18.2224234,Optimal,179.500371,516982,1198.818,1199.312902
neos-5251015_lp.mps,Optimal,0.1058,326,2.944999933,3.8268809,Optimal,0.1058,87432,255.7260001,256.7016412
neos.mps,Optimal,2.25E+08,126677,9.231999874,9.634579,Optimal,2.25E+08,223125,94.83299994,95.6542175
neos3.mps,Optimal,27777.77778,67930,14.68099999,15.442785,Optimal,27777.77778,103690,1134.31,1134.687309
ns1687037.mps,Time Limit,Inf,179500,Inf,1199.556248,Optimal,3.639505824,100718,408.0839999,408.337544
ns1688926.mps,Optimal,262.1358251,7631,6.84100008,7.0371262,Optimal,262.2892875,24924,25.67000008,25.944466
nug08-3rd.mps,Optimal,214,19949,13.68700004,13.7576657,Optimal,214,38644,47.68400002,47.7453993
pds-100.mps,Optimal,1.09E+10,81969,15.7190001,17.9785718,Optimal,1.09E+10,1517843,259.684,261.843295
physiciansched3-3.mps,Time Limit,Inf,744855,Inf,1199.554579,Optimal,2.43E+06,44071,23.86899996,24.7509734
qap15.mps,Optimal,1040.994041,49705,11.0309999,11.401251,Optimal,1040.994041,20715,5.176000118,5.2298167
rail4284.mps,Optimal,1054.054491,105059,36.15400004,42.5656065,Optimal,1054.054491,856087,218.2920001,224.0608236
rmine15_lp.mps,Optimal,-5042.482963,362792,268.9810002,269.4769098,Optimal,-5042.482963,231409,291.4680002,292.0610244
s100.mps,Optimal,-0.171096759,176096,239.217,240.8805118,Time Limit,Inf,1342812,Inf,1201.429503
s250r10.mps,Optimal,-0.172677042,120073,32.35699987,33.542377,Time Limit,Inf,1030561,Inf,1200.943969
s82_lp.mps,Optimal,-34.40230717,323016,974.4230001,985.0044756,Time Limit,Inf,3752568,Inf,1210.401066
savsched1.mps,Optimal,217.4035714,119906,87.02999997,89.0081521,Optimal,217.4035714,256018,46.35000014,48.5165289
scpm1_lp.mps,Optimal,413.782086,99970,194.954,199.5521589,Optimal,413.782086,639507,773.9549999,777.1223113
self.mps,Optimal,0,10194,16.73199987,17.4307437,Optimal,0,9603,27.90799999,28.6328356
square41.mps,Optimal,8.839612487,1223,1.769999981,3.5196021,Optimal,8.839612487,6542,5.360999823,7.4870869
stat96v1.mps,Optimal,1.96377783,10411,12.12599993,12.7812708,Optimal,1.963777522,46283,90.1880002,90.6989089
stormG2_1000.mps,Optimal,1.58E+07,718121,41.26600003,48.104761,Optimal,1.58E+07,502542,175.043,181.9268821
supportcase10.mps,Optimal,3.383923666,258242,41.66299987,41.8183555,Optimal,3.383923666,33313,25.52100015,25.6776654
