Problem,Status_Mosek_Dual,Obj_Value_Mosek_Dual,Iterations_Mosek_Dual,Solver_Time_Mosek_Dual,Julia_Time_Mosek_Dual,Status_Mosek_Primal,Obj_Value_Mosek_Primal,Iterations_Mosek_Primal,Solver_Time_Mosek_Primal,Julia_Time_Mosek_Primal
chromaticindex1024-7.mps,Optimal,3.79E+00,93051,187.42,187.72,Optimal,3,100749,218.094,218.3040639
cont1.mps,Optimal,0.008782486,45069,543.53,543.83,Optimal,0.008782486,43062,494.109,494.5747706
cont11.mps,Time Limit,Inf,55000,1200.31,1200.61,Time Limit,102.3737096,100000,1200,1207.055472
datt256_lp.mps,Time Limit,Inf,175000,1201.1,1201.4,Time Limit,256,149000,1200,1205.954328
ex10.mps,Optimal,100,61457,282.45,282.75,Optimal,100,188576,70.922,71.2084537
fhnw-binschedule0_lp.mps,Optimal,12632.88878,136911,174.14,174.44,Optimal,12632.88878,37721,3.781,5.0592908
fome13.mps,Optimal,9.01E+07,136935,111.95,112.25,Optimal,9.01E+07,2563420,948.656,948.8986362
graph40-40_lp.mps,Time Limit,Inf,23000,1201.5,1201.8,Time Limit,-300,351000,1200,1204.579199
irish-electricity.mps,Optimal,2.55E+06,64018,123.63,123.93,Optimal,2.55E+06,515827,413.812,414.3439458
L1_sixm1000obs.mps,Time Limit,Inf,145000,1218.86,1219.16,Time Limit,16429.28219,400000,1200,1221.605732
L1_sixm250obs.mps,Optimal,4629.462795,91691,277.98,278.28,Optimal,4629.462795,127697,62.594,68.695792
Linf_520c.mps,Time Limit,Inf,95000,1200.2,1200.5,Time Limit,32.44422571,228000,1200,1203.517399
neos-3025225_lp.mps,Optimal,0.052574052,66446,602.27,602.57,Time Limit,0.014912704,221000,1200,1210.122335
neos-5052403-cygnet.mps,Optimal,179.500371,63917,60.31,60.61,Optimal,179.500371,114463,30.047,30.4334742
neos-5251015_lp.mps,Time Limit,0.1058,74642,1200,1215.84916,Optimal,0.1058,78462,429.703,430.8204755
neos.mps,Optimal,2.25E+08,119911,65.828,66.8646933,Optimal,2.25E+08,113560,8.016,8.8556621
neos3.mps,Optimal,27777.77778,257183,1076,1076.941925,Optimal,27777.77778,9063,5.797,6.8045847
ns1687037.mps,Time Limit,-424.1318464,261532,1200,1204.057434,Time Limit,24086.06762,509000,1200,1201.973567
ns1688926.mps,Time Limit,292.4445737,534793,1200,1201.382351,Time Limit,276.309406,1143000,1200,1202.076224
nug08-3rd.mps,Optimal,214,99668,919.094,919.1671904,Time Limit,298,146000,1200,1201.305049
pds-100.mps,Optimal,1.09E+10,62511,29.734,31.2210788,Optimal,1.09E+10,971806,380.922,382.3887346
physiciansched3-3.mps,Optimal,2.43E+06,153627,234.297,235.2507304,Optimal,2.43E+06,460650,197.156,197.9298185
qap15.mps,Optimal,1040.994066,480769,785.375,785.4096118,Time Limit,1040.994041,1164192,1200,1200.657095
rail4284.mps,Optimal,1054.054491,69495,1008.578,1011.934476,Optimal,1054.054491,86492,61.281,64.5407775
rmine15_lp.mps,Time Limit,-5033.233735,317000,1200,1204.73194,Time Limit,-5066.031978,554000,1200,1201.480664
s100.mps,Optimal,-0.158728044,78190,28.516,29.2671037,Optimal,-0.157158592,80985,10.89,11.5544323
s250r10.mps,Optimal,-0.154430889,78830,18.718,19.2504463,Optimal,-0.159177384,31920,6.078,6.5767315
s82_lp.mps,Time Limit,-34.01423546,520000,1200,1211.25514,Time Limit,-33.72408201,1118000,1200,1205.720551
savsched1.mps,Optimal,217.4035446,320609,882.859,884.4175525,Optimal,217.4035714,527218,735.094,736.2693853
scpm1_lp.mps,Time Limit,390.3264099,65000,1200,1216.097738,Optimal,413.782086,187226,790.063,794.796578
self.mps,Optimal,0,0,0.203,0.4112352,Optimal,0,29,0.172,0.2424242
square41.mps,Time Limit,8.88429024,2193427,1200,1201.902134,Time Limit,13.93175104,1781000,1200,1201.553278
stat96v1.mps,Optimal,1.963777566,34626,59.891,60.2362098,Optimal,1.963870466,253625,323.281,323.5981745
stormG2_1000.mps,Optimal,1.58E+07,389085,194.25,198.3846949,Optimal,1.58E+07,579594,689.453,693.8057734
supportcase10.mps,Optimal,3.383923666,90187,70.391,70.6766682,Time Limit,3.372983097,721000,1200,1200.896174
