Problem,Status,Obj_Value
chromaticindex1024-7.mps,Optimal,3
chromaticindex1024-7.mps,Optimal,3
cont1.mps,Optimal,0.008782486
cont11.mps,Optimal,61.03241207
datt256_lp.mps,Optimal,256
ex10.mps,Optimal,100
fhnw-binschedule0_lp.mps,Optimal,12632.88878
fome13.mps,Optimal,90131168.37
graph40-40_lp.mps,Optimal,-300
irish-electricity.mps,Optimal,2546254.563
L1_sixm1000obs.mps,Optimal,17199.14925
L1_sixm250obs.mps,Optimal,4629.462795
Linf_520c.mps,Optimal,0.19886847
neos-3025225_lp.mps,Optimal,0.052574052
neos-5052403-cygnet.mps,Optimal,179.500371
neos-5251015_lp.mps,Optimal,0.1058
neos.mps,Optimal,225425492.2
neos3.mps,Optimal,27777.77778
ns1687037.mps,Optimal,3.636039836
ns1688926.mps,Optimal,262.1358272
nug08-3rd.mps,Optimal,214
pds-100.mps,Optimal,10928229968
physiciansched3-3.mps,Optimal,2432694.766
qap15.mps,Optimal,1040.994041
rail4284.mps,Optimal,1054.054491
rmine15_lp.mps,Optimal,-5042.482963
s100.mps,Optimal,-0.171096759
s250r10.mps,Optimal,-0.172677042
s82_lp.mps,Optimal,-34.57971082
savsched1.mps,Optimal,217.4035714
scpm1_lp.mps,Optimal,413.782086
self.mps,Optimal,0
square41.mps,Optimal,8.839612487
stat96v1.mps,Optimal,1.963778094
stormG2_1000.mps,Optimal,15802591.12
supportcase10.mps,Optimal,3.383923666
