Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,94161,27.02099991,32.3514342
chromaticindex1024-7.mps,Optimal,3,77730,27.3119998,27.3879551
cont1.mps,Optimal,0.008782488,33483,279.2010002,279.4722834
cont11.mps,Time Limit,Inf,128339,1800,1809.577397
datt256_lp.mps,Time Limit,Inf,150178,1800,1800.140888
ex10.mps,Optimal,100,65388,469.931,470.0866066
fhnw-binschedule0_lp.mps,Optimal,12632.88878,82060,651.9170001,652.9161525
fome13.mps,Optimal,9.01E+07,138883,53.41199994,53.4932242
graph40-40_lp.mps,Optimal,-300,149000,1102.485,1103.010135
irish-electricity.mps,Optimal,2.45E+06,60122,161.3490002,161.4499639
L1_sixm1000obs.mps,Time Limit,Inf,22880,1800,1801.28426
L1_sixm250obs.mps,Time Limit,Inf,57485,1800,1800.284672
Linf_520c.mps,Optimal,0.19886847,23659,1428.834,1428.993553
neos-3025225_lp.mps,Time Limit,Inf,68017,1800,1800.018344
neos-5052403-cygnet.mps,Optimal,179.500371,158099,186.464,186.7977838
neos-5251015_lp.mps,Time Limit,Inf,3773,1800,1800.070111
neos.mps,Optimal,2.25E+08,69534,39.01999998,39.3138729
neos3.mps,Optimal,27777.77778,104088,1736.586,1737.224619
ns1687037.mps,Optimal,3.636034742,28704,933.9980001,934.1417333
ns1688926.mps,Optimal,262.1358228,12887,16.31900001,16.5326894
nug08-3rd.mps,Optimal,214,48253,137.5479999,137.5746044
pds-100.mps,Infeasible,0,0,0,0.6820136
physiciansched3-3.mps,Infeasible,0,367227,0,764.2810136
qap15.mps,Optimal,1040.994041,79895,1702.702,1702.718197
rail4284.mps,Optimal,1054.054491,0,987.8270001,989.3783932
rmine15_lp.mps,Optimal,-5042.482963,79895,358.0880001,363.8506146
s100.mps,Optimal,-0.171096756,59626,817.096,817.7520177
s250r10.mps,Optimal,-0.172677042,231371,245.404,245.7111666
s82_lp.mps,Infeasible,0,0,0,7.3713112
savsched1.mps,Time Limit,Inf,333185,1800,1800.286423
scpm1_lp.mps,Optimal,413.782086,2442,509.2130001,510.707639
self.mps,Optimal,0,0,11.08500004,11.4622937
square41.mps,Optimal,8.839612487,138332,30.78499985,31.8451295
stat96v1.mps,Time Limit,Inf,789674,1800,1800.014459
stormG2_1000.mps,Optimal,1.58E+07,61600,159.76,161.541462
supportcase10.mps,Optimal,3.383923666,11405,107.4020002,107.5073387
