Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,111747,95.53199983,100.2578931
chromaticindex1024-7.mps,Optimal,3,111747,94.17599988,94.4751491
cont1.mps,Optimal,0.008782486,21472,105.1059999,106.1761918
cont11.mps,Optimal,6.10E+01,165869,692.651,693.110173
datt256_lp.mps,Optimal,256.000008,90178,873.826,875.1100554
ex10.mps,Optimal,99.99999836,280627,1759.426,1759.634027
fhnw-binschedule0_lp.mps,Optimal,12632.88868,74295,16.71500015,19.0010605
fome13.mps,Optimal,9.01E+07,46498,4.232000113,4.5724
graph40-40_lp.mps,Time Limit,Inf,465222,1800,1804.714323
irish-electricity.mps,Optimal,2.55E+06,40035,15.26900005,15.8151906
L1_sixm1000obs.mps,Optimal,17199.14925,54950,13.37299991,29.8999571
L1_sixm250obs.mps,Optimal,4629.462795,7321,2.654000044,6.7656018
Linf_520c.mps,Optimal,0.19886847,186433,217.4729998,218.0024935
neos-3025225_lp.mps,Optimal,0.052574052,150378,629.447,630.8636069
neos-5052403-cygnet.mps,Optimal,179.500371,38877,17.41300011,17.9101422
neos-5251015_lp.mps,Optimal,0.1058,326,3.036000013,4.017892
neos.mps,Optimal,2.25E+08,126677,9.381000042,9.7675165
neos3.mps,Optimal,27777.77778,67930,15.07800007,15.6998793
ns1687037.mps,Optimal,3.640257784,240367,1468.961,1469.201306
ns1688926.mps,Optimal,262.1358251,7631,7.037999868,7.3018363
nug08-3rd.mps,Optimal,214,19949,13.79099989,13.8549995
pds-100.mps,Optimal,1.09E+10,81969,15.96799994,18.039135
physiciansched3-3.mps,Time Limit,Inf,1028059,1800,1800.082783
qap15.mps,Optimal,1040.994041,49705,11.06700015,11.1206158
rail4284.mps,Optimal,1054.054491,105059,36.14999986,42.2937985
rmine15_lp.mps,Optimal,-5042.482963,362792,271.4080002,271.922129
s100.mps,Optimal,-0.171096759,176096,224.3009999,225.9255151
s250r10.mps,Optimal,-0.172677042,120073,31.66599989,32.9210465
s82_lp.mps,Optimal,-34.40230717,323016,967.063,977.0860894
savsched1.mps,Optimal,217.4035714,119906,87.46500015,89.0980673
scpm1_lp.mps,Optimal,413.782086,99970,197.8699999,201.1043769
self.mps,Optimal,0,10194,16.77900004,17.634325
square41.mps,Optimal,8.839612487,1223,1.816999912,3.4240637
stat96v1.mps,Optimal,1.96377783,10411,12.17200017,12.6826563
stormG2_1000.mps,Optimal,1.58E+07,718121,41.13899994,47.7153774
supportcase10.mps,Optimal,3.383923666,258242,39.06399989,39.2107202
