Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,28865,2.978445053100586,7.0321365
chromaticindex1024-7.mps,Optimal,3.0,28865,2.955669403076172,3.2706603
cont1.mps,Optimal,0.008782486353156396,42339,53.16014862060547,53.8828833
cont11.mps,Optimal,61.032411450385304,32955,188.30184936523438,188.5830373
datt256_lp.mps,Optimal,256.0000000000023,40635,255.7446231842041,254.4011525
ex10.mps,Optimal,99.99999999999983,8413,4.792150497436523,5.0019716
fhnw-binschedule0_lp.mps,Optimal,12632.88877914498,28524,1.453329086303711,2.4452493
fome13.mps,Optimal,9.013116837337112e7,30837,4.87932014465332,5.2710608
graph40-40_lp.mps,Optimal,-300.0,107600,255.8346652984619,256.5519483
irish-electricity.mps,Optimal,2.5462545624305867e6,86167,62.548126220703125,62.6992762
L1_sixm1000obs.mps,Optimal,17199.14925054678,68153,26.301448822021484,42.1215484
L1_sixm250obs.mps,Optimal,4629.4627947583795,8494,5.581260681152344,7.0914049
Linf_520c.mps,Optimal,0.19886846999999996,66270,60.93376159667969,61.1555683
neos-3025225_lp.mps,Optimal,0.052574052028550554,103351,392.5782928466797,393.2809738
neos-5052403-cygnet.mps,Optimal,179.50037100658966,63917,33.302520751953125,33.6124112
neos-5251015_lp.mps,Optimal,0.1058,58138,43.97293281555176,44.4446478
neos.mps,Optimal,2.254254922047545e8,109789,9.218080520629883,10.0413796
neos3.mps,Optimal,27777.777777777766,44099,2.520050048828125,3.1604777
ns1687037.mps,Optimal,3.656842795928399,169294,805.518217086792,805.8050189
ns1688926.mps,Optimal,262.1358272305888,3744,4.724065780639648,4.8458006
nug08-3rd.mps,Optimal,214.0000000003702,18697,13.815118789672852,13.8916662
pds-100.mps,Optimal,1.0928229968000004e10,107779,11.538606643676758,12.5157344
physiciansched3-3.mps,Time Limit,Inf,862798,1800.0,1800.3794954
qap15.mps,Optimal,1040.9940409584642,53410,10.038267135620117,10.0665867
rail4284.mps,Optimal,1054.054491274843,82447,27.478206634521484,29.9866405
rmine15_lp.mps,Optimal,-5042.482962975547,258089,344.81590843200684,345.3508542
s100.mps,Optimal,-0.17109675610282996,77762,78.86663055419922,79.3508396
s250r10.mps,Optimal,-0.17267704190548078,67451,14.292228698730469,14.6634806
s82_lp.mps,Optimal,-34.57971081824482,404501,1089.933240890503,1092.7724923
savsched1.mps,Optimal,217.40357142857133,199312,488.4010200500488,489.2116663
scpm1_lp.mps,Optimal,413.78208601624004,42346,177.10163116455078,178.5237397
self.mps,Optimal,0.0,5656,11.435998916625977,11.7604898
square41.mps,Optimal,8.83961248655513,852,2.030458450317383,2.8005189
stat96v1.mps,Optimal,1.9637780943375647,10588,12.479818344116211,12.6792148
stormG2_1000.mps,Optimal,1.5802591120880423e7,501360,18.835006713867188,21.0515707
supportcase10.mps,Optimal,3.3839236661380023,112730,15.289451599121094,15.4320118
