Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,68273,76.82781982,120.9038821
chromaticindex1024-7.mps,Optimal,3,68273,76.82781982,110.2621323
cont1.mps,Time Limit,Inf,79527,1800,1980.531015
cont11.mps,Optimal,61.03241207,217416,1296.123,1376.522967
datt256_lp.mps,Time Limit,Inf,641399,1800,2013.722467
ex10.mps,Optimal,100,26220,87.25110507,168.1105006
fhnw-binschedule0_lp.mps,Optimal,12632.88878,310399,1580.359397,2059.495356
fome13.mps,Optimal,90131168.37,130702,60.95999289,97.8533538
graph40-40_lp.mps,Time Limit,Inf,144776,1800.124123,2459.492687
irish-electricity.mps,Optimal,2546254.563,236419,532.523554,591.9168254
L1_sixm1000obs.mps,Error,Inf,0,0,0
L1_sixm250obs.mps,Error,Inf,0,0,0
Linf_520c.mps,Error,Inf,0,0,0
neos-3025225_lp.mps,Time Limit,Inf,69799,1800.013124,2184.210932
neos-5052403-cygnet.mps,Optimal,179.500371,111344,122.4490821,455.6984826
neos-5251015_lp.mps,Time Limit,Inf,220229,1801.23123,3951.946352
neos.mps,Optimal,225425492.2,80126,335.0672019,1260.183304
neos3.mps,Optimal,27777.77778,74819,1283.972595,2737.307754
ns1687037.mps,Optimal,3.636039836,32025,386.1971502,557.8689241
ns1688926.mps,Optimal,262.1358272,7092,97.1,144.1
nug08-3rd.mps,Optimal,214,24457,246.7621689,249.668293
pds-100.mps,Optimal,10928229968,430804,27.321,1547.641134
physiciansched3-3.mps,Optimal,2432694.766,172114,306.0254908,913.3565796
qap15.mps,Optimal,1040.994041,490130,834.9626219,835.8774213
rail4284.mps,Error,Inf,0,0,0
rmine15_lp.mps,Optimal,-5042.482963,104756,683.8128431,1180.287579
s100.mps,Time Limit,Inf,497914,1801.1231,2307.914389
s250r10.mps,Optimal,-0.172677042,218298,189.1465373,453.520229
s82_lp.mps,Error,Inf,0,0,0
savsched1.mps,Error,Inf,0,0,0
scpm1_lp.mps,Optimal,413.782086,52350,966.9089992,1962.561958
self.mps,Time Limit,Inf,16327,1801.312312,1802.098872
square41.mps,Optimal,8.839612487,7070,36.98729491,1720.871025
stat96v1.mps,Optimal,1.963778094,15048,25.54914594,129.9722087
stormG2_1000.mps,Error,Inf,0,0,0
supportcase10.mps,Optimal,3.383923666,149314,401.2412412,435.59975
