Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,1,1.488999843597412,5.6735024
chromaticindex1024-7.mps,Optimal,3.0,1,1.4670000076293945,1.6042345
cont1.mps,Optimal,0.008782486003740078,31808,149.69899988174438,150.4414611
cont11.mps,Time Limit,Inf,158417,1800.0,1805.9094547
datt256_lp.mps,Time Limit,Inf,400167,1800.0,1801.1414023
ex10.mps,Optimal,99.99999999999994,51679,10.498999834060669,10.7642048
fhnw-binschedule0_lp.mps,Optimal,12632.888779144982,11395,5.132999897003174,6.4756579
fome13.mps,Optimal,9.013116837337112e7,15870,3.2679998874664307,3.4213731
graph40-40_lp.mps,Optimal,-300.0,924,30.22499990463257,30.778166
irish-electricity.mps,Optimal,2.54625455642554e6,26534,14.881999969482422,15.0393952
L1_sixm1000obs.mps,Optimal,17199.14925055089,136715,81.09899997711182,95.5972802
L1_sixm250obs.mps,Optimal,4629.4627947581375,13194,4.134000062942505,9.6366774
Linf_520c.mps,Optimal,0.19886846999999996,141795,317.83899998664856,317.991656
neos-3025225_lp.mps,Time Limit,Inf,341585,1800.0,1801.3215791
neos-5052403-cygnet.mps,Optimal,179.50037100659011,123636,110.94400000572205,111.3866296
neos-5251015_lp.mps,Time Limit,Inf,244648,1800.0,1800.8462895
neos.mps,Optimal,2.2542549220474595e8,116079,9.309999942779541,9.8935112
neos3.mps,Optimal,27777.777777777785,777,0.8710000514984131,1.2702032
ns1687037.mps,Time Limit,Inf,405162,1800.0,1800.4134743
ns1688926.mps,Optimal,262.13583245227346,13594,4.075999975204468,4.3618837
nug08-3rd.mps,Optimal,214.00000000039864,4809,6.24399995803833,6.2813221
pds-100.mps,Optimal,1.0928229968e10,104355,11.288999795913696,12.5505581
physiciansched3-3.mps,Optimal,2.4326947661587917e6,75638,20.945000171661377,21.2284337
qap15.mps,Optimal,1040.9940409584808,46701,9.13100004196167,9.1590533
rail4284.mps,Optimal,1054.054491274843,116286,49.556999921798706,54.0196308
rmine15_lp.mps,Optimal,-5042.482962975563,97585,122.27300000190735,122.7205723
s100.mps,Optimal,-0.1710967560272768,214176,362.67900013923645,363.5709013
s250r10.mps,Optimal,-0.17267704190548067,68649,15.102999925613403,15.7049999
s82_lp.mps,Optimal,-34.57971081824477,218030,766.3180000782013,772.9593938
savsched1.mps,Optimal,217.40357142858556,108611,303.0989999771118,304.4694678
scpm1_lp.mps,Optimal,413.7820860162409,123439,345.96399998664856,348.4760557
self.mps,Optimal,0.0,9216,12.052000045776367,13.5723207
square41.mps,Optimal,8.83961248654468,491,1.7039999961853027,3.2035751
stat96v1.mps,Optimal,1.9637769838820536,8430,9.537999868392944,9.8814999
stormG2_1000.mps,Optimal,1.5802591120876968e7,763567,65.5329999923706,69.7987583
supportcase10.mps,Optimal,3.3839236661380037,61579,5.546999931335449,5.6849796
