Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,93051,193.172,197.7038573
chromaticindex1024-7.mps,Optimal,3,93051,186.234,186.450895
cont1.mps,Optimal,0.008782486,45071,530.75,531.1919964
cont11.mps,Time Limit,-3.214131294,59000,1800,2011.249657
datt256_lp.mps,Time Limit,256,255000,1800,1807.59497
ex10.mps,Optimal,99.99999999,62135,274.235,274.4751492
fhnw-binschedule0_lp.mps,Optimal,12632.88878,136911,165.984,167.061334
fome13.mps,Optimal,9.01E+07,136935,107.532,108.001795
graph40-40_lp.mps,Time Limit,-300,276799,1800,1810.097146
irish-electricity.mps,Optimal,2.55E+06,64018,125.343,125.618386
L1_sixm1000obs.mps,Time Limit,14894.87634,176000,1800,1831.414829
L1_sixm250obs.mps,Optimal,4629.462795,91740,267.875,272.8040568
Linf_520c.mps,Optimal,0.19886847,389698,1281.032,1282.147903
neos-3025225_lp.mps,Infeasible,0,66446,0,587.8454902
neos-5052403-cygnet.mps,Optimal,179.5004194,109170,60.64,60.9932541
neos-5251015_lp.mps,Time Limit,0.1058,89642,1800,1819.841602
neos.mps,Optimal,2.25E+08,119911,64.922,65.9864563
neos3.mps,Optimal,27777.77778,257183,1068.765,1069.445912
ns1687037.mps,Time Limit,-20.65109064,426532,1800,1803.935348
ns1688926.mps,Time Limit,292.4445743,806793,1800,1801.913934
nug08-3rd.mps,Optimal,214,99668,914.781,914.8846223
pds-100.mps,Optimal,1.09E+10,62511,30.109,31.6728251
physiciansched3-3.mps,Optimal,2.43E+06,153627,235.5,236.0477935
qap15.mps,Optimal,1040.994066,480769,772.5,772.5329301
rail4284.mps,Optimal,1054.054491,69495,978.657,981.7519227
rmine15_lp.mps,Optimal,-5042.482963,357642,1372.735,1373.315749
s100.mps,Optimal,-0.158728044,78190,28.438,29.1057193
s250r10.mps,Optimal,-0.154430889,78830,18.656,19.2040716
s82_lp.mps,Time Limit,-34.49266516,949699,1800,1804.833885
savsched1.mps,Optimal,217.4035446,320609,887.531,888.6988195
scpm1_lp.mps,Time Limit,400.504085,122000,1800,1806.640804
self.mps,Optimal,0,0,0.187,0.2689768
square41.mps,Time Limit,8.889588634,1845427,1800,1803
stat96v1.mps,Optimal,1.963777566,34626,63.344,63.7578262
stormG2_1000.mps,Optimal,1.58E+07,389085,184.953,189.1528043
supportcase10.mps,Optimal,3.383923666,90187,72.187,72.3987758
