Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3,164935,125.391,130.0988533
chromaticindex1024-7.mps,Optimal,3,164935,128.34500002861,128.7006515
cont1.mps,Time Limit,Inf,180994,1800,1808.328783
cont11.mps,Optimal,61.032412,96699,1295.028068,1295.028068
datt256_lp.mps,Optimal,256,63331,1227.101,1228.417364
ex10.mps,Optimal,100,32680,47.8916051,47.8916051
fhnw-binschedule0_lp.mps,Optimal,12632.88878,77869,10.93499994,12.9957785
fome13.mps,Optimal,90100000,54516,6.913000107,7.259097
graph40-40_lp.mps,Time Limit,Inf,424254,1800,1800.817813
irish-electricity.mps,Optimal,2550000,258527,163.6070001,163.9830622
L1_sixm1000obs.mps,Optimal,17199.14925,111009,42.47099996,63.3876794
L1_sixm250obs.mps,Optimal,4629.462795,13328,3.236999989,7.0502964
Linf_520c.mps,Optimal,0.19886847,244652,1800,1801.019832
neos-3025225_lp.mps,Optimal,0.052574052,69248,369.0930002,370.5188453
neos-5052403-cygnet.mps,Optimal,179.500371,516982,1122.065,1122.61076
neos-5251015_lp.mps,Optimal,0.106,87432,249.099,249.599503
neos.mps,Optimal,225000000,223125,93.77700019,94.5970127
neos3.mps,Optimal,27777.77778,103690,486.8640001,487.6763015
ns1687037.mps,Optimal,3.64,100718,414.2869999,414.5210902
ns1688926.mps,Optimal,262,24924,25.83199978,26.1139279
nug08-3rd.mps,Optimal,214,38644,48.09200001,48.1542461
pds-100.mps,Optimal,10900000000,1517843,261.39599990844727,263.8042203
physiciansched3-3.mps,Optimal,2430000,44071,22.92000008,23.3571493
qap15.mps,Optimal,1040.994041,20715,5.200999975,5.5221575
rail4284.mps,Optimal,1054.054491,856087,219.5009999,225.915826
rmine15_lp.mps,Optimal,-5042.482963,231409,294.5599999,295.0392907
s100.mps,Time Limit,Inf,176841,1800,1801.386811
s250r10.mps,Optimal,-0.172677042,1128816,1616.33,1617.521224
s82_lp.mps,Time Limit,Inf,5204834,1800,1802.807303
savsched1.mps,Optimal,217.4035714,256018,45.32300019,47.4858352
scpm1_lp.mps,Optimal,413.782086,639507,735.7620001,744.3830905
self.mps,Optimal,0,9603,28.31799984,29.2881624
square41.mps,Optimal,8.839612487,6542,5.358999968,7.3265976
stat96v1.mps,Optimal,1.963777522,46283,90.75999999,91.4108457
stormG2_1000.mps,Optimal,15800000,502542,174.9579999,182.2264131
supportcase10.mps,Optimal,3.383923666,33313,25.6170001,25.7593027
