Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,28865,3.080150604248047,7.255567
chromaticindex1024-7.mps,Optimal,3.0,28865,3.084695816040039,3.2164733
cont1.mps,Optimal,0.008782487179178749,49085,186.423921585083,187.1703202
cont11.mps,Infeasible,0.0,48989,0.0,1233.3764789
datt256_lp.mps,Time Limit,Inf,274882,1800.0,1800.4190378
ex10.mps,Optimal,99.99999999999986,17737,11.475866317749023,11.5949209
fhnw-binschedule0_lp.mps,Optimal,12632.888779144976,21346,1.2711124420166016,2.258325
fome13.mps,Optimal,9.013116837337105e7,38293,5.962541580200195,6.107221
graph40-40_lp.mps,Optimal,-300.0,97253,83.27172088623047,83.6786207
irish-electricity.mps,Infeasible,0.0,194961,0.0,147.7726866
L1_sixm1000obs.mps,Optimal,17199.14925054678,126248,70.92558670043945,84.1888236
L1_sixm250obs.mps,Optimal,4629.4627947583795,15500,6.0677642822265625,10.9406885
Linf_520c.mps,Optimal,0.19886846999999996,244652,683.3859977722168,683.5400857
neos-3025225_lp.mps,Optimal,0.052574052028627125,104398,370.63203620910645,371.3598854
neos-5052403-cygnet.mps,Optimal,179.50037100658986,317810,264.37418937683105,264.6512103
neos-5251015_lp.mps,Time Limit,Inf,206751,1800.0,1800.4856965
neos.mps,Optimal,2.2542549220475444e8,322219,101.49238777160645,102.1180162
neos3.mps,Optimal,27777.777777776882,20406,20.28432273864746,20.6989716
ns1687037.mps,Time Limit,Inf,372900,1800.0,1800.125479
ns1688926.mps,Optimal,262.1358169449192,9591,18.007068634033203,18.22927
nug08-3rd.mps,Optimal,214.00000000049744,40554,37.92556953430176,37.9658153
pds-100.mps,Optimal,1.0928229967999992e10,684842,199.87814712524414,200.8189591
physiciansched3-3.mps,Optimal,2.432694766158778e6,147465,108.20949172973633,108.4997242
qap15.mps,Optimal,1040.9940409585158,19360,4.374061584472656,4.4002603
rail4284.mps,Optimal,1054.0544912748435,3641886,1206.9791717529297,1209.1867433
rmine15_lp.mps,Optimal,-5042.4829629755495,619238,1062.678472518921,1062.9957798
s100.mps,Optimal,-0.17109669239255143,176841,34.79179000854492,35.4721234
s250r10.mps,Optimal,-0.17267704190548083,92270,5.230388641357422,5.5813608
s82_lp.mps,Time Limit,Inf,891739,1800.0,1802.8073033
savsched1.mps,Optimal,217.40357142857133,285993,101.07781982421875,101.67805
scpm1_lp.mps,Optimal,413.78208601624,281661,581.7890281677246,583.8800038
self.mps,Optimal,0.0,10020,24.92664337158203,24.9904719
square41.mps,Optimal,8.839612486490608,3646,4.030912399291992,4.7340008
stat96v1.mps,Optimal,1.963778080782945,45145,22.756141662597656,22.9550238
stormG2_1000.mps,Optimal,1.5802591120880034e7,579766,650.7673282623291,653.5268027
supportcase10.mps,Optimal,3.383923666138004,39775,36.870052337646484,37.0122094
