Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,1,1.3269999027252197,5.3921416
chromaticindex1024-7.mps,Optimal,3.0,1,1.3469998836517334,1.5408376
cont1.mps,Optimal,0.008782486109225711,15469,59.388999938964844,60.1110463
cont11.mps,Optimal,61.03241204619029,63343,958.0360000133514,958.2427129
datt256_lp.mps,Time Limit,Inf,195786,1800.0,1801.2553653
ex10.mps,Optimal,100.0000000000004,21008,12.471999883651733,12.6674089
fhnw-binschedule0_lp.mps,Optimal,12632.888779144976,19505,3.9129998683929443,5.0014897
fome13.mps,Optimal,9.013116837337399e7,28010,4.253000020980835,4.7354259
graph40-40_lp.mps,Optimal,-299.9999999999998,633,33.85900020599365,34.6632964
irish-electricity.mps,Optimal,2.546254563310559e6,198245,62.34400010108948,62.5673204
L1_sixm1000obs.mps,Optimal,17199.149250546623,650102,1644.4370000362396,1666.9468047
L1_sixm250obs.mps,Optimal,4629.4627947584,24912,5.773000001907349,9.7297663
Linf_520c.mps,Time Limit,Inf,1686102,1800.0,1800.2430971
neos-3025225_lp.mps,Optimal,0.05257405202856699,115279,1312.9219999313354,1314.7086066
neos-5052403-cygnet.mps,Optimal,179.5003710065899,233036,89.07200002670288,89.573995
neos-5251015_lp.mps,Optimal,0.1058,646470,1387.4409999847412,1387.8381233
neos.mps,Optimal,2.2542549220475423e8,247678,21.479000091552734,21.8091995
neos3.mps,Optimal,27777.77777777779,5196,1.3919999599456787,2.054113
ns1687037.mps,Time Limit,Inf,36115,1800.0,1802.9881916
ns1688926.mps,Optimal,262.1358234235309,322163,528.6419999599457,528.7961686
nug08-3rd.mps,Optimal,214.00000000004286,42088,66.96399998664856,67.0031687
pds-100.mps,Optimal,1.0928229968e10,819594,143.41899991035461,144.5805949
physiciansched3-3.mps,Optimal,2.432694766158786e6,93773,45.46000003814697,45.7514011
qap15.mps,Optimal,1040.9940409585142,14286,4.2749998569488525,4.3096963
rail4284.mps,Optimal,1054.0544912748421,570696,62.55799984931946,67.0006234
rmine15_lp.mps,Optimal,-5042.4829629755795,370237,986.4830000400543,986.8770041
s100.mps,Optimal,-0.17109674972010824,273974,15.175000190734863,16.1724083
s250r10.mps,Optimal,-0.1726770419054807,322956,23.953999996185303,24.7951757
s82_lp.mps,Time Limit,Inf,5348127,1800.0,1807.708928
savsched1.mps,Optimal,217.40357142857135,187921,59.05999994277954,60.1270331
scpm1_lp.mps,Optimal,413.78208601624004,22162,89.69700002670288,92.572816
self.mps,Optimal,0.0,9634,16.319999933242798,16.452022
square41.mps,Optimal,8.839612486544967,14930,5.115000009536743,6.4607364
stat96v1.mps,Optimal,1.9637773826720044,898115,128.3769998550415,129.3338703
stormG2_1000.mps,Optimal,1.5802591120881367e7,192070,85.59000015258789,90.2284626
supportcase10.mps,Optimal,3.3839236661380045,57172,44.13199996948242,44.2565535
