Problem,Status,Obj_Value,Iterations,Solver_Time,Julia_Time
chromaticindex1024-7.mps,Optimal,3.0,100749,228.828,233.193265
chromaticindex1024-7.mps,Optimal,3.0,100749,235.641,235.8865104
cont1.mps,Optimal,0.008782486003705051,43062,493.844,494.4444225
cont11.mps,Time Limit,100.43028776795924,123000,1800.0,1812.1016807
datt256_lp.mps,Time Limit,256.00000000000006,212000,1800.0,1802.6809317
ex10.mps,Optimal,99.99999999993636,188576,72.141,72.3484196
fhnw-binschedule0_lp.mps,Optimal,12632.888779144987,37721,3.797,4.8785694
fome13.mps,Optimal,9.013116837337294e7,2563420,981.828,982.0952555
graph40-40_lp.mps,Time Limit,-300.0,432000,1800.0,1805.9362702
irish-electricity.mps,Optimal,2.5462545563075263e6,515827,418.391,418.656074
L1_sixm1000obs.mps,Time Limit,22579.91642948579,494000,1800.0,1824.9632961
L1_sixm250obs.mps,Optimal,4629.462794757948,127697,63.14,68.9919451
Linf_520c.mps,Time Limit,27.31876113999016,333000,1800.0,1802.8440206
neos-3025225_lp.mps,Time Limit,0.02092844877805838,268000,1800.0,1805.6403738
neos-5052403-cygnet.mps,Optimal,179.50037100659011,114463,30.547,30.9137959
neos-5251015_lp.mps,Optimal,0.1058,78462,415.438,416.5948719
neos.mps,Optimal,2.2542549220475018e8,113560,8.297,9.133623
neos3.mps,Optimal,27777.77777777784,9063,5.907,7.3590746
ns1687037.mps,Time Limit,-354.95077377951804,676000,1800.0,1802.1259971
ns1688926.mps,Time Limit,276.3094097846197,1394000,1800.0,1802.1192722
nug08-3rd.mps,Time Limit,298.00000017267,257000,1800.0,1803.1371706
pds-100.mps,Optimal,1.0928229968e10,971806,387.469,388.9397597
physiciansched3-3.mps,Optimal,2.4326947661588625e6,460650,201.156,201.8194034
qap15.mps,Time Limit,1040.994040715727,1499192,1800.0,1800.2231581
rail4284.mps,Optimal,1054.0544912748433,86492,61.281,64.4501973
rmine15_lp.mps,Optimal,-5042.4829629755395,801352,1774.906,1775.5293732
s100.mps,Optimal,-0.15715859164168644,80985,11.156,12.2461747
s250r10.mps,Optimal,-0.15917738379536378,31920,6.11,6.6323921
s82_lp.mps,Time Limit,-34.29170033741508,1667000,1800.0,1804.5608557
savsched1.mps,Optimal,217.4035714285718,527218,724.0,725.3087309
scpm1_lp.mps,Optimal,413.78208601626386,187226,773.719,775.8671109
self.mps,Optimal,0.0,29,0.171,0.2470075
square41.mps,Time Limit,11.494282728161235,3035000,1800.0,1801.3719193
stat96v1.mps,Optimal,1.9638704660076733,253625,323.594,323.902303
stormG2_1000.mps,Optimal,1.580259112087686e7,579594,693.891,698.0764246
supportcase10.mps,Optimal,3.3839236661386485,836162,1352.953,1353.1691521
