Problems,Clp,FICO_Xpress,GuRoBi,IBM_CPLEX,HiGHS,Mosek,Tulip
chromaticindex1024-7.mps,121,83,5,3,77,9,3
cont1.mps,218,71,20,110,t,55,14
cont11.mps,1299,1383,27,311,1297,f,18
datt256_lp.mps,91,658,343,406,t,217,18
ex10.mps,346,1796,8,14,88,17,t
fhnw-binschedule0_lp.mps,68,17,3,8,1581,23,19
fome13.mps,53,4,3,2,61,13,222
graph40-40_lp.mps,593,t,50,96,t,13,12
irish-electricity.mps,f,14,7,f,533,10,f
L1_sixm1000obs.mps,t,14,39,415,f,t,f
L1_sixm250obs.mps,t,3,7,7,f,49,f
Linf_520c.mps,20,198,20,29,f,t,t
neos-3025225_lp.mps,732,561,39,101,t,13,t
neos-5052403-cygnet.mps,306,17,9,30,123,6,170
neos-5251015_lp.mps,573,3,14,13,t,14,51
neos.mps,172,10,13,10,336,13,212
neos3.mps,t,16,4,3,1284,19,583
ns1687037.mps,931,771,26,508,387,t,f
ns1688926.mps,17,11,8,130,98,2,f
nug08-3rd.mps,139,15,20,12,247,116,t
pds-100.mps,f,19,30,36,28,55,f
physiciansched3-3.mps,t,t,46,55,307,89,f
qap15.mps,100,6,2,2,835,10,145
rail4284.mps,f,24,37,28,f,24,529
rmine15_lp.mps,379,272,156,133,684,126,t
s100.mps,809,221,15,20,t,10,507
s250r10.mps,245,20,9,8,190,6,f
s82_lp.mps,f,822,204,187,f,99,t
savsched1.mps,t,109,104,117,f,78,150
scpm1_lp.mps,9,112,39,55,967,47,634
self.mps,5,10,12,15,t,5,10
square41.mps,883,3,4,3,37,9,89
stat96v1.mps,t,10,19,16,26,1151,f
stormG2_1000.mps,159,51,33,85,f,34,1114
supportcase10.mps,78,40,12,9,402,11,1498
