Problems,FICO_Xpress,GuRoBi,IBM_CPLEX,Mosek,Tulip
chromaticindex1024-7.mps,10,1,1,2,3
cont1.mps,3,3,3,7,14
cont11.mps,3,3,f,7,18
datt256_lp.mps,3,3,4,5,18
ex10.mps,18,31,9,35,t
fhnw-binschedule0_lp.mps,3,3,3,10,19
fome13.mps,2,2,2,22,222
graph40-40_lp.mps,5,1,1,6,12
irish-electricity.mps,3,7,21,14,f
L1_sixm1000obs.mps,f,t,t,t,f
L1_sixm250obs.mps,4,15,9,104,f
Linf_520c.mps,11,17,25,f,t
neos-3025225_lp.mps,23,16,132,29,t
neos-5052403-cygnet.mps,12,8,33,13,170
neos-5251015_lp.mps,4,f,7,15,51
neos.mps,11,13,15,26,212
neos3.mps,15,2,3,35,583
ns1687037.mps,11,25,39,f,f
ns1688926.mps,f,f,f,f,f
nug08-3rd.mps,3,2,4,175,t
pds-100.mps,54,52,162,217,f
physiciansched3-3.mps,19,f,183,268,f
qap15.mps,1,1,1,25,145
rail4284.mps,32,35,40,39,529
rmine15_lp.mps,63,96,206,607,t
s100.mps,14,15,23,19,507
s250r10.mps,10,8,10,8,f
s82_lp.mps,194,170,260,243,t
savsched1.mps,11,12,17,19,150
scpm1_lp.mps,39,36,76,106,634
self.mps,2,2,2,2,10
square41.mps,2,2,1,15,89
stat96v1.mps,4,f,f,13,f
stormG2_1000.mps,21,41,24,38,1114
supportcase10.mps,10,10,21,28,1498
